,Zip Code,City,County,Households,<10k,10k - 15k,15k - 25k,25k - 35k,35k - 50k,50k - 75k,75k - 100k,100k - 150k,150k - 200k,200k+,Median Income ($),Mean Income ($)
0,90001,Los Angeles,Los Angeles,13594,10.9,6.9,18.2,15.1,18.1,14.8,8.1,6.0,1.7,0.2,34323.0,43747.0
1,90002,Los Angeles,Los Angeles,12543,11.6,11.8,15.6,13.4,17.2,14.6,8.3,5.8,1.2,0.4,32520.0,42095.0
2,90003,Los Angeles,Los Angeles,16496,11.4,9.8,17.8,14.9,16.9,15.3,7.5,5.4,0.7,0.3,31878.0,40885.0
3,90004,Los Angeles,Los Angeles,22431,6.9,6.5,13.7,13.0,16.3,17.3,7.2,7.9,4.1,7.0,43180.0,77658.0
4,90005,Los Angeles,Los Angeles,16086,9.0,11.1,18.7,16.3,17.1,13.2,6.5,4.3,1.6,2.1,31485.0,46850.0
5,90006,Los Angeles,Los Angeles,19474,7.1,9.0,20.0,18.7,19.1,14.6,5.8,4.1,0.9,0.8,31993.0,40868.0
6,90007,Los Angeles,Los Angeles,11672,24.5,12.9,16.4,12.4,10.7,11.8,5.7,4.2,0.7,0.7,22485.0,33802.0
7,90008,Los Angeles,Los Angeles,14590,10.9,12.0,14.3,11.8,10.4,14.2,7.7,11.8,4.3,2.7,36134.0,59215.0
8,90010,Los Angeles,Los Angeles,2041,10.9,6.6,11.9,8.4,14.8,17.2,10.1,12.4,2.7,4.9,47569.0,63582.0
9,90011,Los Angeles,Los Angeles,23258,11.2,8.9,19.8,14.5,17.7,15.5,6.4,4.8,0.6,0.5,31684.0,40315.0
10,90012,Los Angeles,Los Angeles,11344,13.3,14.9,14.3,8.5,8.3,14.8,7.7,11.6,3.7,3.1,32712.0,55854.0
11,90013,Los Angeles,Los Angeles,6786,24.7,18.8,10.2,6.3,5.5,7.9,9.3,10.0,3.5,3.9,22058.0,55060.0
12,90014,Los Angeles,Los Angeles,4871,21.4,20.4,9.5,4.9,7.2,9.6,8.2,10.3,4.1,4.4,23580.0,55113.0
13,90015,Los Angeles,Los Angeles,8043,15.8,12.0,16.7,9.3,10.3,10.1,6.5,8.5,4.4,6.3,30463.0,66275.0
14,90016,Los Angeles,Los Angeles,17213,10.0,8.1,14.8,10.3,15.0,17.7,11.0,8.9,2.4,1.9,41140.0,55166.0
15,90017,Los Angeles,Los Angeles,10288,16.7,13.4,19.7,10.2,12.4,8.1,7.0,5.5,3.4,3.6,25143.0,48628.0
16,90018,Los Angeles,Los Angeles,16290,10.3,9.7,16.5,12.6,13.3,16.8,8.6,7.2,3.2,1.9,35696.0,52107.0
17,90019,Los Angeles,Los Angeles,24599,7.5,7.3,12.4,10.0,14.7,16.9,10.2,9.8,5.6,5.6,47518.0,75101.0
18,90020,Los Angeles,Los Angeles,16649,6.6,6.0,15.8,14.7,18.9,17.3,9.8,5.9,2.3,2.6,40353.0,62641.0
19,90021,Los Angeles,Los Angeles,1728,34.2,27.0,7.3,4.2,8.3,7.6,0.9,5.8,2.5,2.3,12370.0,37827.0
20,90022,Los Angeles,Los Angeles,17436,7.2,8.3,14.1,13.0,18.7,19.0,9.6,7.1,1.9,0.9,40650.0,50645.0
21,90023,Los Angeles,Los Angeles,11239,7.8,8.2,16.5,14.8,15.5,19.2,8.7,6.3,2.2,0.9,37472.0,48160.0
22,90024,Los Angeles,Los Angeles,17206,18.5,4.3,7.1,7.2,8.8,10.9,7.6,12.0,5.7,18.0,57210.0,116885.0
23,90025,Los Angeles,Los Angeles,22097,6.3,3.4,7.2,6.7,10.4,17.3,12.1,17.8,8.8,10.2,72653.0,99469.0
24,90026,Los Angeles,Los Angeles,25299,6.9,5.9,12.8,9.9,13.2,15.5,11.5,11.9,5.3,6.9,51568.0,77444.0
25,90027,Los Angeles,Los Angeles,21996,7.8,7.7,11.6,9.6,11.0,16.7,11.3,12.9,4.5,6.9,52922.0,83328.0
26,90028,Los Angeles,Los Angeles,16201,12.1,13.2,13.3,10.4,13.4,16.7,8.3,8.7,1.4,2.5,35729.0,50123.0
27,90029,Los Angeles,Los Angeles,14187,7.4,11.5,15.5,15.5,15.1,16.5,9.2,6.2,1.4,1.8,35132.0,48157.0
28,90031,Los Angeles,Los Angeles,11651,8.2,9.1,17.4,13.1,14.0,16.8,10.4,7.1,2.2,1.7,36801.0,52276.0
29,90032,Los Angeles,Los Angeles,13409,6.8,6.9,13.3,11.2,15.9,17.8,10.7,11.7,3.7,2.0,45218.0,59991.0
30,90033,Los Angeles,Los Angeles,13170,10.4,12.3,20.0,14.9,15.2,13.8,7.2,4.4,1.1,0.8,29499.0,40123.0
31,90034,Los Angeles,Los Angeles,25918,8.4,2.7,9.0,7.5,13.5,19.2,13.3,14.5,4.9,7.0,60965.0,83161.0
32,90035,Los Angeles,Los Angeles,13140,6.1,5.0,6.4,8.2,7.8,16.7,11.2,15.6,8.4,14.6,74667.0,113606.0
