,City,Zip Code
0,Aliso Viejo,92656
1,Anaheim,92801
2,Anaheim,92802
3,Anaheim,92804
4,Anaheim,92805
5,Anaheim,92806
6,Anaheim,92807
7,Anaheim,92808
8,Brea,92821
9,Brea,92823
10,Buena Park,90620
11,Buena Park,90621
12,Capistrano Beach,92624
13,Corona Del Mar,92625
14,Costa Mesa,92626
15,Costa Mesa,92627
16,Cypress,90630
17,Dana Point,92629
18,Foothill Ranch,92610
19,Fountain Valley,92708
20,Fullerton,92831
21,Fullerton,92832
22,Fullerton,92833
23,Fullerton,92835
24,Garden Grove,92840
25,Garden Grove,92841
26,Garden Grove,92843
27,Garden Grove,92844
28,Garden Grove,92845
29,Huntington Beach,92646
30,Huntington Beach,92647
31,Huntington Beach,92648
32,Huntington Beach,92649
33,Irvine,92602
34,Irvine,92603
35,Irvine,92604
36,Irvine,92606
37,Irvine,92612
38,Irvine,92614
39,Irvine,92617
40,Irvine,92618
41,Irvine,92620
42,La Habra,90631
43,La Palma,90623
44,Ladera Ranch,92694
45,Laguna Beach,92651
46,Laguna Hills,92653
47,Laguna Niguel,92677
48,Laguna Woods,92637
49,Lake Forest,92630
50,Los Alamitos,90720
51,Midway City,92655
52,Mission Viejo,92691
53,Mission Viejo,92692
54,Newport Beach,92660
55,Newport Beach,92661
56,Newport Beach,92662
57,Newport Beach,92663
58,Newport Coast,92657
59,Orange,92865
60,Orange,92866
61,Orange,92867
62,Orange,92868
63,Orange,92869
64,Placentia,92870
65,Rancho Santa Margarita,92688
66,San Clemente,92672
67,San Clemente,92673
68,San Juan Capistrano,92675
69,Santa Ana,92701
70,Santa Ana,92703
71,Santa Ana,92704
72,Santa Ana,92705
73,Santa Ana,92706
74,Santa Ana,92707
75,Seal Beach,90740
76,Silverado,92676
77,Stanton,90680
78,Sunset Beach,90742
79,Surfside,90743
80,Trabuco Canyon,92678
81,Trabuco Canyon,92679
82,Tustin,92780
83,Tustin,92782
84,Villa Park,92861
85,Westminster,92683
86,Yorba Linda,92886
87,Yorba Linda,92887
