Zipcode,Median Price
92656,500150.0
92801,382900.0
92802,403750.0
92804,406600.0
92805,386400.0
92806,432700.0
92807,507750.0
92808,573750.0
92821,506050.0
92823,531000.0
90620,407000.0
90621,410550.0
92626,551550.0
92627,576100.0
92679,679350.0
90630,461750.0
92629,788900.0
92708,576750.0
92831,491650.0
92832,397600.0
92833,418750.0
92835,590400.0
92840,406250.0
92841,423500.0
92843,400900.0
92844,397550.0
92845,485500.0
92646,602500.0
92647,551750.0
92648,770100.0
92649,622750.0
92602,655650.0
92603,805100.0
92604,595250.0
92606,613250.0
92612,648900.0
92614,621550.0
92618,664000.0
92620,654300.0
90631,416900.0
90623,514650.0
92694,516250.0
92651,1821900.0
92653,491250.0
92677,629850.0
92637,447750.0
92610,569750.0
92630,518600.0
90720,742400.0
92691,531750.0
92692,572350.0
92625,1865750.0
92660,1088500.0
92661,1975150.0
92662,2227500.0
92663,1212050.0
92657,1664250.0
92705,624750.0
92865,479500.0
92866,520550.0
92867,495400.0
92868,414150.0
92869,525050.0
92870,501300.0
92688,509850.0
92624,668000.0
92672,745300.0
92673,655550.0
92675,548750.0
92701,377300.0
92703,353200.0
92704,369500.0
92706,438650.0
92707,362250.0
90740,792550.0
92676,604100.0
90680,367250.0
92780,512700.0
92782,596200.0
92861,843950.0
92655,415600.0
92683,445900.0
92886,561500.0
92887,621100.0
