,Zip Code,City,County,Households,<10k,10k - 15k,15k - 25k,25k - 35k,35k - 50k,50k - 75k,75k - 100k,100k - 150k,150k - 200k,200k+,Median Income ($),Mean Income ($),FIPS,State
289,90620,Buena Park,Orange,12922,3.2,2.1,6.9,5.9,9.2,16.0,17.0,23.9,8.8,7.0,83524.0,94615.0,6059,CA
290,90621,Buena Park,Orange,10096,6.0,5.1,11.2,10.0,13.0,17.9,14.3,12.3,4.8,5.4,54670.0,72448.0,6059,CA
291,90623,La Palma,Orange,5010,2.5,3.5,3.8,10.1,8.8,14.1,16.3,18.6,11.0,11.3,83857.0,106400.0,6059,CA
292,90630,Cypress,Orange,15995,3.3,2.1,4.4,4.9,10.1,17.7,16.1,21.6,10.8,9.1,84421.0,102126.0,6059,CA
293,90631,La Habra,Orange,21388,4.1,3.2,7.7,7.8,12.2,18.2,14.5,17.4,6.8,8.0,69425.0,93675.0,6059,CA
294,90680,Stanton,Orange,9019,5.7,4.6,11.0,11.3,17.1,18.3,11.4,12.3,6.2,2.1,50293.0,65241.0,6059,CA
295,90720,Los Alamitos,Orange,7894,3.5,1.8,4.7,6.5,7.2,15.0,12.6,18.2,12.9,17.6,96290.0,122790.0,6059,CA
296,90740,Seal Beach,Orange,12276,5.3,5.7,12.4,10.6,10.4,13.6,10.1,14.3,7.5,10.1,59875.0,94636.0,6059,CA
297,90742,Sunset Beach,Orange,334,6.0,0.0,0.0,6.0,6.9,26.9,21.6,9.9,10.8,12.0,76667.0,115649.0,6059,CA
298,90743,Surfside,Orange,167,9.6,9.6,0.0,0.0,14.4,13.2,0.0,13.8,10.2,29.3,109028.0,130259.0,6059,CA
299,92602,Irvine,Orange,8591,3.7,1.1,2.6,4.1,5.9,11.7,15.8,26.5,13.8,14.8,105612.0,131506.0,6059,CA
300,92603,Irvine,Orange,7731,2.9,0.8,1.5,4.4,4.0,16.0,13.4,18.0,8.4,30.6,114606.0,181340.0,6059,CA
301,92604,Irvine,Orange,9953,5.0,3.4,4.8,3.4,6.8,15.5,14.6,18.7,15.6,12.1,94201.0,117689.0,6059,CA
302,92606,Irvine,Orange,7982,7.2,3.4,6.3,4.8,6.8,11.0,15.2,18.5,10.1,16.6,91250.0,120619.0,6059,CA
303,92610,Foothill Ranch,Orange,4053,2.3,0.8,1.5,2.2,5.8,9.5,12.9,25.1,20.9,18.9,121861.0,142817.0,6059,CA
304,92612,Irvine,Orange,12468,14.3,3.2,7.0,5.6,8.1,12.1,10.1,18.0,11.0,10.7,74525.0,101599.0,6059,CA
305,92614,Irvine,Orange,9564,5.1,4.0,3.3,4.5,7.3,13.1,15.7,23.4,11.4,12.2,92438.0,113084.0,6059,CA
306,92617,Irvine,Orange,4160,22.6,6.4,9.9,6.5,9.3,13.2,7.4,9.1,5.1,10.5,40305.0,76477.0,6059,CA
307,92618,Irvine,Orange,12169,7.2,2.2,2.6,2.9,7.3,13.4,14.3,21.3,14.6,14.2,100100.0,121412.0,6059,CA
308,92620,Irvine,Orange,17312,5.0,2.2,4.7,6.8,6.3,12.1,13.7,18.5,11.9,18.8,98830.0,123562.0,6059,CA
309,92624,Capistrano Beach,Orange,2772,5.1,2.7,4.9,8.0,10.7,14.2,9.4,19.4,10.8,14.8,82328.0,112008.0,6059,CA
