City,Zipcode,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Price,Number of Bedrooms
Aliso Viejo,92656,623500.0,611400.0,588600.0,579000.0,604500.0,709300.0,736000,764800,809600,847500,666400.0,4
Anaheim,92801,375900.0,334200.0,338800.0,327000.0,358500.0,423600.0,439900,470700,500800,546400,399750.0,4
Anaheim,92802,413500.0,383200.0,370500.0,361600.0,393600.0,450900.0,480300,523400,561000,605400,432200.0,4
Anaheim,92804,398500.0,367400.0,363800.0,351700.0,382100.0,441900.0,469100,514900,548700,589500,420200.0,4
Anaheim,92805,403000.0,368600.0,360000.0,351900.0,378700.0,445300.0,456000,496900,542700,575100,424150.0,4
Anaheim,92806,457300.0,425900.0,409000.0,391000.0,421900.0,490900.0,518800,565100,599400,641700,474100.0,4
Anaheim,92807,608000.0,586300.0,552700.0,535500.0,578900.0,672300.0,684300,715400,752500,790200,640150.0,4
Anaheim,92808,664700.0,645200.0,622600.0,610300.0,646400.0,727200.0,745400,783000,794200,852900,695950.0,4
Brea,92821,554100.0,547700.0,527300.0,500300.0,548600.0,633700.0,648900,676600,709200,750600,593900.0,4
Brea,92823,605100.0,607800.0,597000.0,587500.0,620300.0,671600.0,735000,775400,781200,820500,645950.0,4
Buena Park,90620,412500.0,395700.0,388700.0,367400.0,399500.0,461600.0,473500,517600,548600,594500,437050.0,4
Buena Park,90621,563800.0,531400.0,515000.0,482000.0,502600.0,523200.0,574700,683800,679600,752500,547600.0,4
Costa Mesa,92626,569000.0,565100.0,520700.0,511600.0,567800.0,671100.0,695200,728300,771000,808900,620050.0,4
Costa Mesa,92627,649100.0,638800.0,621600.0,613600.0,698100.0,799800.0,820600,899200,916300,954900,748950.0,4
Coto de Caza,92679,786900.0,746200.0,726000.0,683900.0,741900.0,849300.0,870500,928200,938500,991700,818100.0,4
Cypress,90630,534500.0,533800.0,521100.0,493600.0,515400.0,592000.0,613800,658200,673500,726400,563250.0,4
