Date,BottomTier Price,Condo Price,1-b Price,2-b Price,3-b Price,4-b Price,5-b Price,sfr Price,TopTier Price
1996-04,165437.5,180837.5,108900,164125,228712.5,304150,389062.5,301362.5,361675
1996-05,165187.5,180737.5,108880,164087.5,228925,304087.5,390662.5,300937.5,361000
1996-06,164962.5,180675,108880,164125,229125,304075,392262.5,300587.5,360337.5
1996-07,164725,180612.5,108880,164125,229312.5,304125,393875,300275,359725
1996-08,164562.5,180662.5,108960,164237.5,229625,304362.5,395537.5,300125,359300
1996-09,164437.5,180787.5,109120,164400,230012.5,304700,397275,300087.5,359050
1996-10,164412.5,181012.5,109400,164712.5,230550,305250,399175,300250,359087.5
1996-11,164462.5,181325,109680,165087.5,231137.5,305912.5,401137.5,300662.5,359437.5
1996-12,164675,181837.5,110100,165600,232025,306975,403637.5,301437.5,360225
1997-01,165087.5,182562.5,110660,166225,233087.5,308287.5,406312.5,302500,361325
1997-02,165375,183250,111220,166875,234000,309575,408700,303612.5,362425
1997-03,165512.5,183750,111660,167312.5,234650,310712.5,410587.5,304537.5,363350
1997-04,165687.5,184287.5,112100,167812.5,235312.5,311887.5,412512.5,305625,364437.5
1997-05,165962.5,184912.5,112620,168362.5,236037.5,313287.5,414550,306912.5,365787.5
1997-06,166362.5,185637.5,113160,169037.5,236862.5,314875,416650,308412.5,367350
1997-07,166925,186550,113760,169850,237800,316762.5,418875,310187.5,369200
1997-08,167687.5,187550,114400,170762.5,238950,318887.5,421212.5,312150,371337.5
1997-09,168687.5,188762.5,115080,171825,240312.5,321250,423725,314350,373750
1997-10,169850,190162.5,115880,173025,241887.5,323887.5,426475,316812.5,376462.5
1997-11,171237.5,191687.5,116700,174325,243637.5,326700,429400,319437.5,379425
1997-12,172900,193512.5,117640,175850,245712.5,329875,432925,322475,382812.5
1998-01,174825,195512.5,118620,177475,248000,333300,436775,325675,386362.5
1998-02,176737.5,197437.5,119580,179075,250125,336575,440275,328775,389800
1998-03,178475,199237.5,120400,180500,252025,339575,443362.5,331600,393012.5
1998-04,180300,201075,121160,181962.5,253900,342625,446625,334512.5,396375
1998-05,182187.5,202962.5,121980,183437.5,255800,345725,449987.5,337425,399800
1998-06,184125,204925,122760,185012.5,257750,348887.5,453450,340487.5,403400
1998-07,186112.5,206962.5,123540,186675,259812.5,352162.5,457050,343637.5,407075
1998-08,188175,209137.5,124400,188462.5,261937.5,355525,460787.5,346862.5,410887.5
1998-09,190262.5,211362.5,125280,190275,264212.5,358937.5,464662.5,350137.5,414725
1998-10,192350,213762.5,126200,192225,266625,362450,468750,353500,418675
1998-11,194400,216150,127160,194200,269112.5,365950,473037.5,356850,422550
1998-12,196550,218687.5,128160,196275,271837.5,369587.5,477775,360337.5,426562.5
1999-01,198712.5,221262.5,129200,198425,274625,373237.5,482725,363800,430462.5
1999-02,200650,223675,130200,200450,277137.5,376537.5,487275,366937.5,433950
1999-03,202275,225737.5,131040,202212.5,279312.5,379362.5,491375,369587.5,436937.5
1999-04,203812.5,227762.5,131820,203937.5,281425,382025,495512.5,372137.5,439775
1999-05,205350,229725,132560,205650,283475,384562.5,499650,374575,442562.5
1999-06,206875,231625,133320,207412.5,285500,387087.5,503912.5,377012.5,445425
1999-07,208525,233625,134140,209237.5,287600,389625,508237.5,379525,448375
1999-08,210362.5,235675,135020,211137.5,289812.5,392262.5,512725,382212.5,451462.5
1999-09,212312.5,237762.5,135980,213137.5,292175,394987.5,517375,385025,454800
1999-10,214437.5,240012.5,137040,215250,294762.5,397862.5,522287.5,388050,458487.5
1999-11,216675,242275,138120,217337.5,297462.5,400825,527387.5,391250,462487.5
1999-12,219137.5,244737.5,139280,219587.5,300362.5,403975,533000,394687.5,466875
2000-01,221737.5,247300,140560,221937.5,303450,407300,538837.5,398325,471525
2000-02,224187.5,249725,141900,224150,306300,410462.5,544300,401875,476100
2000-03,226375,251887.5,143080,226125,308787.5,413225,549287.5,405075,480350
2000-04,228475,253962.5,144260,228037.5,311200,415912.5,554262.5,408175,484637.5
2000-05,230537.5,256050,145480,229962.5,313587.5,418650,559237.5,411300,489025
2000-06,232600,258150,146760,232000,316012.5,421500,564312.5,414575,493550
2000-07,234725,260400,148180,234175,318500,424587.5,569475,418000,498200
2000-08,236975,262775,149720,236412.5,321237.5,427875,574775,421600,503037.5
2000-09,239275,265287.5,151400,238787.5,324200,431425,580162.5,425387.5,508050
2000-10,241687.5,268012.5,153240,241287.5,327450,435187.5,585812.5,429387.5,513275
2000-11,244137.5,270800,155100,243850,330825,439112.5,591612.5,433462.5,518625
2000-12,246700,273662.5,157060,246487.5,334400,443200,597662.5,437687.5,524050
2001-01,249312.5,276587.5,159120,249150,338100,447387.5,603625,441912.5,529325
2001-02,251787.5,279387.5,161220,251675,341612.5,451362.5,609175,445887.5,534212.5
2001-03,254037.5,281950,163240,254000,344850,455037.5,614262.5,449562.5,538587.5
2001-04,256150,284412.5,165160,256250,347962.5,458562.5,619212.5,453012.5,542725
2001-05,258225,286837.5,167160,258462.5,350987.5,462162.5,624037.5,456437.5,546625
2001-06,260337.5,289350,169220,260825,354125,465887.5,628862.5,459975,550575
2001-07,262600,292012.5,171440,263350,357412.5,469912.5,633762.5,463800,554587.5
2001-08,265012.5,294850,173780,266075,361000,474262.5,638825,467900,558712.5
2001-09,267637.5,297912.5,176300,269025,364937.5,478900,644125,472362.5,563112.5
2001-10,270487.5,301262.5,179060,272175,369225,483925,649700,477125,567800
2001-11,273387.5,304662.5,181800,275375,373725,489075,655500,482087.5,572650
2001-12,276450,308150,184640,278600,378375,494300,661362.5,487137.5,577525
2002-01,279625,311662.5,187500,281862.5,383012.5,499487.5,667112.5,492175,582300
2002-02,282787.5,315137.5,190340,285025,387437.5,504500,672500,497075,586925
2002-03,285912.5,318487.5,193060,288025,391625,509212.5,677600,501675,591437.5
2002-04,289075,321762.5,195740,290887.5,395575,513737.5,682487.5,506100,595975
2002-05,292375,325062.5,198360,293762.5,399400,518187.5,687237.5,510462.5,600775
2002-06,296000,328575,201080,296837.5,403312.5,522887.5,692125,515137.5,606162.5
2002-07,300062.5,332375,203940,300225,407500,527950,697200,520175,612212.5
2002-08,304537.5,336525,207020,303800,412000,533387.5,702512.5,525525,618962.5
2002-09,309337.5,341050,210280,307675,416937.5,539175,708200,531275,626450
2002-10,314387.5,345775,213600,311662.5,422200,545200,714325,537275,634537.5
2002-11,319737.5,351300,217760,316275,428287.5,552050,720612.5,543812.5,643175
2002-12,325000,357212.5,222360,321437.5,434687.5,559337.5,727250,550575,651875
2003-01,329687.5,362387.5,226100,326262.5,440400,566087.5,734362.5,556887.5,659862.5
2003-02,334025,366750,228920,330700,445550,572412.5,741712.5,562862.5,667237.5
2003-03,338825,371612.5,232240,335637.5,451187.5,579612.5,749325,569312.5,674825
2003-04,344125,377062.5,235960,341087.5,457537.5,587762.5,757600,576462.5,682900
2003-05,349762.5,383062.5,240120,346950,464625,596575,766787.5,584275,691600
2003-06,355787.5,389625,244780,353312.5,472562.5,605937.5,777412.5,592937.5,701337.5
2003-07,362112.5,396737.5,249860,360200,481300,615725,789937.5,602600,712525
2003-08,368662.5,404187.5,255260,367550,490600,626237.5,804512.5,613412.5,725037.5
2003-09,375537.5,411962.5,260820,375187.5,500300,637825,821200,625425,738587.5
2003-10,382787.5,419862.5,266560,383112.5,510237.5,650687.5,839475,638475,752937.5
2003-11,390337.5,427700,272380,391187.5,520275,664512.5,858525,652237.5,767912.5
2003-12,398412.5,435887.5,278460,399612.5,530775,679462.5,878175,666737.5,783987.5
2004-01,407237.5,445075,285140,408787.5,542337.5,695700,898562.5,682050,801575
2004-02,417137.5,455787.5,292560,419087.5,555400,713362.5,920250,698700,820862.5
2004-03,428425,468100,300720,430525,570137.5,732350,943787.5,717187.5,841725
2004-04,440987.5,481987.5,309460,442925,586400,752325,968675,737475,863650
2004-05,454037.5,496550,318340,455325,603275,772012.5,993300,758325,885275
2004-06,466662.5,510950,326780,466962.5,619712.5,790475,1016175,778375,905425
