,92606,92612,92614,92618,92620,Irvine Average 1-Bedroom House Price
1996-04,122700.0,124200.0,110800.0,94900.0,91900.0,108900.0
1996-05,122900.0,124500.0,110600.0,94700.0,91700.0,108880.0
1996-06,123100.0,124800.0,110400.0,94600.0,91500.0,108880.0
1996-07,123300.0,125200.0,110200.0,94400.0,91300.0,108880.0
1996-08,123700.0,125600.0,110000.0,94300.0,91200.0,108960.0
1996-09,124200.0,126100.0,109900.0,94300.0,91100.0,109120.0
1996-10,124800.0,126700.0,110000.0,94400.0,91100.0,109400.0
1996-11,125400.0,127300.0,110000.0,94500.0,91200.0,109680.0
1996-12,126100.0,128100.0,110200.0,94800.0,91300.0,110100.0
1997-01,127100.0,128900.0,110700.0,95200.0,91400.0,110660.0
1997-02,128300.0,129600.0,111100.0,95500.0,91600.0,111220.0
1997-03,129400.0,130100.0,111500.0,95700.0,91600.0,111660.0
1997-04,130400.0,130600.0,111900.0,95800.0,91800.0,112100.0
1997-05,131400.0,131200.0,112400.0,96100.0,92000.0,112620.0
1997-06,132400.0,131800.0,112900.0,96400.0,92300.0,113160.0
1997-07,133400.0,132400.0,113500.0,96800.0,92700.0,113760.0
1997-08,134500.0,133000.0,114100.0,97300.0,93100.0,114400.0
1997-09,135600.0,133600.0,114700.0,97900.0,93600.0,115080.0
1997-10,136800.0,134300.0,115400.0,98700.0,94200.0,115880.0
1997-11,137700.0,135000.0,116200.0,99600.0,95000.0,116700.0
1997-12,138700.0,135800.0,117100.0,100700.0,95900.0,117640.0
1998-01,139800.0,136500.0,118100.0,101900.0,96800.0,118620.0
1998-02,141000.0,137100.0,119100.0,103100.0,97600.0,119580.0
1998-03,142000.0,137500.0,120000.0,104100.0,98400.0,120400.0
1998-04,142800.0,137900.0,120800.0,105100.0,99200.0,121160.0
1998-05,143600.0,138400.0,121600.0,106200.0,100100.0,121980.0
1998-06,144300.0,138900.0,122400.0,107200.0,101000.0,122760.0
1998-07,144900.0,139500.0,123200.0,108300.0,101800.0,123540.0
1998-08,145600.0,140200.0,123900.0,109500.0,102800.0,124400.0
1998-09,146300.0,140900.0,124700.0,110700.0,103800.0,125280.0
1998-10,147000.0,141800.0,125400.0,112000.0,104800.0,126200.0
1998-11,147600.0,142800.0,126200.0,113400.0,105800.0,127160.0
1998-12,148100.0,143800.0,127200.0,114800.0,106900.0,128160.0
1999-01,148900.0,144800.0,128100.0,116200.0,108000.0,129200.0
1999-02,149700.0,145700.0,129100.0,117400.0,109100.0,130200.0
