,92602,92603,92604,92606,92612,92614,92618,92620,Irvine Average 2-Bedroom House Price
1996-04,172100.0,198600.0,160200.0,156700.0,173200.0,147800.0,148000.0,156400.0,164125.0
1996-05,171900.0,198900.0,160400.0,156900.0,173200.0,147400.0,147800.0,156200.0,164087.5
1996-06,171700.0,199400.0,160600.0,157100.0,173200.0,147100.0,147800.0,156100.0,164125.0
1996-07,171500.0,199900.0,160800.0,157300.0,173200.0,146700.0,147700.0,155900.0,164125.0
1996-08,171400.0,200600.0,161100.0,157600.0,173300.0,146400.0,147700.0,155800.0,164237.5
1996-09,171300.0,201400.0,161500.0,157900.0,173500.0,146100.0,147700.0,155800.0,164400.0
1996-10,171300.0,202400.0,162000.0,158400.0,173800.0,146000.0,147900.0,155900.0,164712.5
1996-11,171400.0,203300.0,162600.0,159000.0,174200.0,145900.0,148100.0,156200.0,165087.5
1996-12,171700.0,204200.0,163200.0,159700.0,174800.0,146100.0,148500.0,156600.0,165600.0
1997-01,172200.0,205200.0,164100.0,160600.0,175500.0,146300.0,148900.0,157000.0,166225.0
1997-02,172700.0,206200.0,165000.0,161400.0,176300.0,146600.0,149300.0,157500.0,166875.0
1997-03,172900.0,206800.0,165700.0,162000.0,176900.0,146700.0,149700.0,157800.0,167312.5
1997-04,173100.0,207600.0,166400.0,162600.0,177700.0,146900.0,150000.0,158200.0,167812.5
1997-05,173400.0,208400.0,167100.0,163400.0,178400.0,147100.0,150400.0,158700.0,168362.5
1997-06,173800.0,209400.0,167900.0,164200.0,179300.0,147500.0,151000.0,159200.0,169037.5
1997-07,174200.0,210700.0,168900.0,165200.0,180400.0,147900.0,151700.0,159800.0,169850.0
1997-08,174700.0,212200.0,169900.0,166100.0,181600.0,148400.0,152500.0,160700.0,170762.5
1997-09,175300.0,213900.0,171100.0,167300.0,182900.0,149100.0,153400.0,161600.0,171825.0
1997-10,176100.0,215700.0,172400.0,168500.0,184400.0,149900.0,154500.0,162700.0,173025.0
1997-11,176900.0,217500.0,173800.0,169900.0,186100.0,150900.0,155600.0,163900.0,174325.0
1997-12,178100.0,219500.0,175400.0,171400.0,188000.0,152100.0,157000.0,165300.0,175850.0
1998-01,179500.0,221500.0,177200.0,173000.0,190000.0,153400.0,158400.0,166800.0,177475.0
1998-02,180900.0,223500.0,178800.0,174500.0,192100.0,154700.0,159800.0,168300.0,179075.0
1998-03,182200.0,225200.0,180300.0,175800.0,194000.0,156000.0,160900.0,169600.0,180500.0
1998-04,183600.0,226900.0,181800.0,177100.0,195900.0,157200.0,162200.0,171000.0,181962.5
1998-05,185000.0,228700.0,183400.0,178400.0,197800.0,158400.0,163400.0,172400.0,183437.5
1998-06,186600.0,230700.0,185000.0,179800.0,199800.0,159800.0,164600.0,173800.0,185012.5
1998-07,188300.0,232900.0,186600.0,181200.0,201900.0,161100.0,166000.0,175400.0,186675.0
1998-08,190200.0,235300.0,188400.0,182700.0,204100.0,162500.0,167400.0,177100.0,188462.5
1998-09,192200.0,237700.0,190300.0,184300.0,206200.0,163900.0,168700.0,178900.0,190275.0
1998-10,194400.0,240200.0,192200.0,186100.0,208500.0,165300.0,170200.0,180900.0,192225.0
1998-11,196700.0,242700.0,194200.0,187800.0,210800.0,166800.0,171700.0,182900.0,194200.0
1998-12,199300.0,245100.0,196300.0,189700.0,213100.0,168500.0,173200.0,185000.0,196275.0
1999-01,202100.0,247400.0,198400.0,191700.0,215500.0,170200.0,174800.0,187300.0,198425.0
1999-02,204800.0,249600.0,200400.0,193600.0,217800.0,171800.0,176200.0,189400.0,200450.0
1999-03,207300.0,251400.0,202200.0,195200.0,219800.0,173200.0,177300.0,191300.0,202212.5
1999-04,209800.0,253200.0,203800.0,196800.0,221700.0,174500.0,178500.0,193200.0,203937.5
1999-05,212300.0,255000.0,205400.0,198400.0,223600.0,175800.0,179600.0,195100.0,205650.0
1999-06,214700.0,257000.0,207100.0,200000.0,225400.0,177100.0,180900.0,197100.0,207412.5
1999-07,217200.0,259200.0,208800.0,201700.0,227200.0,178500.0,182200.0,199100.0,209237.5
1999-08,219700.0,261600.0,210600.0,203500.0,229000.0,179900.0,183500.0,201300.0,211137.5
1999-09,222300.0,264100.0,212500.0,205400.0,230800.0,181400.0,185000.0,203600.0,213137.5
1999-10,224900.0,266800.0,214500.0,207500.0,232700.0,183000.0,186600.0,206000.0,215250.0
1999-11,227500.0,269200.0,216500.0,209600.0,234600.0,184700.0,188200.0,208400.0,217337.5
1999-12,230300.0,271700.0,218600.0,211900.0,236600.0,186600.0,190100.0,210900.0,219587.5
2000-01,233300.0,274100.0,220800.0,214200.0,238800.0,188700.0,192000.0,213600.0,221937.5
2000-02,236200.0,276300.0,223000.0,216500.0,240800.0,190600.0,193800.0,216000.0,224150.0
2000-03,238800.0,278100.0,224900.0,218500.0,242600.0,192400.0,195400.0,218300.0,226125.0
2000-04,241300.0,279800.0,226700.0,220400.0,244300.0,194200.0,197100.0,220500.0,228037.5
2000-05,243700.0,281600.0,228400.0,222400.0,246100.0,196000.0,198800.0,222700.0,229962.5
2000-06,246100.0,283700.0,230300.0,224600.0,247900.0,197900.0,200700.0,224800.0,232000.0
2000-07,248600.0,286000.0,232200.0,226800.0,249800.0,200000.0,202800.0,227200.0,234175.0
2000-08,251000.0,288600.0,234200.0,229100.0,251700.0,202100.0,205000.0,229600.0,236412.5
2000-09,253500.0,291400.0,236300.0,231600.0,253700.0,204200.0,207400.0,232200.0,238787.5
2000-10,256100.0,294300.0,238500.0,234300.0,256000.0,206500.0,209800.0,234800.0,241287.5
2000-11,258700.0,297000.0,240800.0,237100.0,258200.0,209000.0,212400.0,237600.0,243850.0
2000-12,261500.0,299600.0,243200.0,239900.0,260500.0,211700.0,215100.0,240400.0,246487.5
