,92602,92603,92604,92606,92612,92614,92617,92618,92620,Irvine Average House Price
1996-04,192200.0,209600.0,161800.0,165300.0,156400.0,144900.0,,128800.0,164500.0,165437.5
1996-05,192200.0,209900.0,161100.0,165100.0,156000.0,144100.0,,128900.0,164200.0,165187.5
1996-06,192100.0,210400.0,160500.0,165000.0,155600.0,143300.0,,128900.0,163900.0,164962.5
1996-07,191900.0,211000.0,159900.0,164900.0,155100.0,142400.0,,129000.0,163600.0,164725.0
1996-08,191700.0,211800.0,159500.0,164900.0,154700.0,141500.0,,129100.0,163300.0,164562.5
1996-09,191500.0,212700.0,159100.0,164900.0,154200.0,140700.0,,129300.0,163100.0,164437.5
1996-10,191300.0,213600.0,159000.0,165100.0,153900.0,140000.0,,129400.0,163000.0,164412.5
1996-11,191200.0,214400.0,159000.0,165400.0,153600.0,139500.0,,129600.0,163000.0,164462.5
1996-12,191100.0,215200.0,159200.0,166000.0,153500.0,139200.0,,130000.0,163200.0,164675.0
1997-01,191200.0,216100.0,159600.0,166800.0,153700.0,139200.0,,130400.0,163700.0,165087.5
1997-02,191100.0,216700.0,160100.0,167500.0,153800.0,139100.0,,130700.0,164000.0,165375.0
1997-03,190800.0,216900.0,160300.0,168200.0,153900.0,139000.0,,130900.0,164100.0,165512.5
1997-04,190400.0,217000.0,160700.0,168900.0,154100.0,139000.0,,131100.0,164300.0,165687.5
1997-05,190300.0,217000.0,161200.0,169800.0,154600.0,139200.0,,131200.0,164400.0,165962.5
1997-06,190300.0,217100.0,161900.0,170700.0,155300.0,139500.0,,131400.0,164700.0,166362.5
1997-07,190500.0,217500.0,162800.0,171700.0,156300.0,139900.0,,131800.0,164900.0,166925.0
1997-08,191100.0,218000.0,163900.0,172900.0,157500.0,140600.0,,132200.0,165300.0,167687.5
1997-09,191900.0,218900.0,165200.0,174200.0,159000.0,141600.0,,132800.0,165900.0,168687.5
1997-10,193000.0,220100.0,166600.0,175700.0,160600.0,142700.0,,133500.0,166600.0,169850.0
1997-11,194300.0,221500.0,168300.0,177400.0,162300.0,144100.0,,134500.0,167500.0,171237.5
1997-12,196000.0,223200.0,170100.0,179300.0,164200.0,145800.0,,135700.0,168900.0,172900.0
1998-01,198100.0,225300.0,172100.0,181300.0,166300.0,147700.0,,137200.0,170600.0,174825.0
1998-02,200000.0,227500.0,174100.0,183400.0,168200.0,149600.0,,138600.0,172500.0,176737.5
1998-03,201600.0,229600.0,175800.0,185300.0,169800.0,151500.0,,139900.0,174300.0,178475.0
1998-04,203300.0,231900.0,177600.0,187300.0,171400.0,153400.0,,141300.0,176200.0,180300.0
1998-05,205000.0,234300.0,179400.0,189400.0,173000.0,155400.0,,142700.0,178300.0,182187.5
1998-06,206700.0,236800.0,181200.0,191600.0,174600.0,157400.0,,144100.0,180600.0,184125.0
1998-07,208600.0,239400.0,183000.0,193900.0,176100.0,159400.0,,145500.0,183000.0,186112.5
1998-08,210700.0,242100.0,184900.0,196300.0,177500.0,161400.0,,147000.0,185500.0,188175.0
1998-09,212900.0,244900.0,186800.0,198800.0,178800.0,163400.0,,148400.0,188100.0,190262.5
1998-10,215300.0,247600.0,188700.0,201400.0,180100.0,165200.0,,149800.0,190700.0,192350.0
1998-11,217900.0,250100.0,190500.0,204100.0,181300.0,166800.0,,151200.0,193300.0,194400.0
1998-12,220900.0,252700.0,192300.0,207000.0,182700.0,168300.0,,152600.0,195900.0,196550.0
1999-01,224200.0,255200.0,194100.0,209900.0,184100.0,169700.0,,154100.0,198400.0,198712.5
1999-02,227300.0,257400.0,195800.0,212600.0,185300.0,170800.0,,155400.0,200600.0,200650.0
1999-03,230200.0,259300.0,197100.0,215000.0,186300.0,171500.0,,156400.0,202400.0,202275.0
1999-04,233100.0,261100.0,198300.0,217300.0,187200.0,172100.0,,157300.0,204100.0,203812.5
1999-05,236100.0,262900.0,199600.0,219500.0,188300.0,172500.0,,158200.0,205700.0,205350.0
1999-06,239000.0,264900.0,201000.0,221500.0,189400.0,172900.0,,159000.0,207300.0,206875.0
1999-07,242000.0,267200.0,202600.0,223400.0,190600.0,173400.0,,159900.0,209100.0,208525.0
1999-08,245100.0,270000.0,204500.0,225200.0,192000.0,174100.0,,160900.0,211100.0,210362.5
1999-09,248200.0,273200.0,206600.0,226900.0,193600.0,174800.0,,162100.0,213100.0,212312.5
1999-10,251300.0,276500.0,208900.0,228700.0,195400.0,175900.0,,163400.0,215400.0,214437.5
1999-11,254500.0,280000.0,211400.0,230300.0,197500.0,177200.0,,164800.0,217700.0,216675.0
1999-12,258000.0,283500.0,214000.0,232100.0,199900.0,178800.0,,166500.0,220300.0,219137.5
2000-01,261500.0,287000.0,216800.0,233900.0,202600.0,180700.0,,168400.0,223000.0,221737.5
2000-02,264800.0,290300.0,219500.0,235500.0,205200.0,182600.0,,170200.0,225400.0,224187.5
2000-03,267600.0,293200.0,221900.0,236800.0,207700.0,184400.0,,171800.0,227600.0,226375.0
2000-04,270200.0,295800.0,224200.0,238000.0,210200.0,186300.0,,173400.0,229700.0,228475.0
2000-05,272700.0,298300.0,226300.0,239100.0,212800.0,188300.0,,175000.0,231800.0,230537.5
2000-06,275100.0,300700.0,228300.0,240300.0,215600.0,190300.0,,176600.0,233900.0,232600.0
2000-07,277600.0,303300.0,230200.0,241600.0,218500.0,192300.0,,178200.0,236100.0,234725.0
2000-08,280100.0,306100.0,232300.0,243100.0,221500.0,194400.0,,180000.0,238300.0,236975.0
2000-09,282600.0,308900.0,234300.0,244700.0,224400.0,196600.0,,182000.0,240700.0,239275.0
2000-10,285200.0,311800.0,236300.0,246700.0,227300.0,198900.0,,184100.0,243200.0,241687.5
2000-11,287800.0,314300.0,238400.0,248800.0,230200.0,201300.0,,186500.0,245800.0,244137.5
2000-12,290500.0,316700.0,240700.0,251300.0,233000.0,203800.0,,189000.0,248600.0,246700.0
2001-01,293200.0,318900.0,243100.0,254000.0,235700.0,206300.0,,191800.0,251500.0,249312.5
2001-02,295700.0,321000.0,245500.0,256700.0,237900.0,208800.0,,194500.0,254200.0,251787.5
2001-03,297900.0,322500.0,247600.0,259400.0,239800.0,211100.0,,197100.0,256900.0,254037.5
2001-04,299900.0,323800.0,249500.0,262000.0,241400.0,213500.0,,199700.0,259400.0,256150.0
2001-05,301800.0,325100.0,251300.0,264700.0,242900.0,215800.0,,202400.0,261800.0,258225.0
2001-06,303800.0,326600.0,253200.0,267400.0,244400.0,218100.0,,205000.0,264200.0,260337.5
2001-07,306100.0,328500.0,255100.0,270200.0,245900.0,220600.0,,207800.0,266600.0,262600.0
2001-08,308700.0,330800.0,257100.0,273000.0,247500.0,223200.0,,210800.0,269000.0,265012.5
2001-09,311500.0,333700.0,259400.0,275800.0,249200.0,226000.0,,213900.0,271600.0,267637.5
2001-10,314700.0,336800.0,261900.0,278800.0,251200.0,228900.0,,217200.0,274400.0,270487.5
2001-11,318100.0,339800.0,264500.0,281800.0,253300.0,231900.0,,220500.0,277200.0,273387.5
2001-12,321700.0,343000.0,267300.0,284800.0,255600.0,235000.0,,224000.0,280200.0,276450.0
2002-01,325400.0,346300.0,270300.0,287900.0,258200.0,238100.0,,227400.0,283400.0,279625.0
2002-02,329000.0,349700.0,273400.0,290900.0,260800.0,241200.0,,230800.0,286500.0,282787.5
2002-03,332400.0,353200.0,276400.0,293700.0,263600.0,244300.0,,234000.0,289700.0,285912.5
2002-04,335700.0,356800.0,279400.0,296500.0,266800.0,247300.0,,237200.0,292900.0,289075.0
2002-05,338800.0,360800.0,282400.0,299400.0,270500.0,250500.0,,240300.0,296300.0,292375.0
