,92602,92603,92604,92606,92612,92614,92618,92620,Irvine Average Condo Price
1996-04,193200.0,227500.0,173600.0,163700.0,175200.0,160700.0,180100.0,172700.0,180837.5
1996-05,193100.0,228600.0,173200.0,163800.0,175100.0,160400.0,179600.0,172100.0,180737.5
1996-06,193000.0,229600.0,172900.0,164000.0,175000.0,160100.0,179100.0,171700.0,180675.0
1996-07,192900.0,230700.0,172600.0,164100.0,175000.0,159800.0,178500.0,171300.0,180612.5
1996-08,192900.0,232000.0,172300.0,164400.0,175000.0,159600.0,178100.0,171000.0,180662.5
1996-09,192900.0,233500.0,172200.0,164700.0,175000.0,159500.0,177700.0,170800.0,180787.5
1996-10,193000.0,235100.0,172200.0,165100.0,175100.0,159500.0,177400.0,170700.0,181012.5
1996-11,193200.0,236600.0,172300.0,165600.0,175200.0,159600.0,177300.0,170800.0,181325.0
1996-12,193600.0,238300.0,172600.0,166300.0,175600.0,159900.0,177300.0,171100.0,181837.5
1997-01,194200.0,240100.0,173100.0,167300.0,176200.0,160400.0,177600.0,171600.0,182562.5
1997-02,194800.0,241700.0,173600.0,168100.0,176800.0,161000.0,177800.0,172200.0,183250.0
1997-03,195000.0,242900.0,174000.0,168900.0,177200.0,161500.0,177800.0,172700.0,183750.0
1997-04,195300.0,244000.0,174400.0,169700.0,177900.0,162000.0,177900.0,173100.0,184287.5
1997-05,195700.0,245000.0,175000.0,170500.0,178700.0,162600.0,178100.0,173700.0,184912.5
1997-06,196100.0,246000.0,175700.0,171400.0,179700.0,163400.0,178400.0,174400.0,185637.5
1997-07,196700.0,247200.0,176600.0,172500.0,180900.0,164300.0,179000.0,175200.0,186550.0
1997-08,197300.0,248500.0,177600.0,173700.0,182200.0,165400.0,179700.0,176000.0,187550.0
1997-09,198200.0,250000.0,178800.0,175000.0,183700.0,166700.0,180700.0,177000.0,188762.5
1997-10,199300.0,251800.0,180100.0,176400.0,185500.0,168100.0,182000.0,178100.0,190162.5
1997-11,200400.0,253500.0,181600.0,178000.0,187300.0,169800.0,183600.0,179300.0,191687.5
1997-12,201900.0,255500.0,183300.0,179800.0,189400.0,171800.0,185600.0,180800.0,193512.5
1998-01,203600.0,257600.0,185200.0,181900.0,191700.0,173900.0,187700.0,182500.0,195512.5
1998-02,205300.0,259500.0,187100.0,183800.0,194000.0,176000.0,189700.0,184100.0,197437.5
1998-03,206800.0,261100.0,188800.0,185600.0,196200.0,177900.0,191700.0,185800.0,199237.5
1998-04,208300.0,262600.0,190500.0,187400.0,198600.0,179900.0,193700.0,187600.0,201075.0
