,92602,92603,92604,92606,92612,92614,92618,92620,Irvine Average sfr House Price
1996-04,307300.0,510900.0,233000.0,260000.0,220800.0,276100.0,320600.0,282200.0,301362.5
1996-05,306700.0,509200.0,232600.0,259400.0,221600.0,275500.0,321100.0,281400.0,300937.5
1996-06,306200.0,507700.0,232300.0,258900.0,222300.0,275000.0,321600.0,280700.0,300587.5
1996-07,305600.0,506200.0,232100.0,258400.0,223100.0,274600.0,322200.0,280000.0,300275.0
1996-08,305200.0,504900.0,232100.0,258100.0,224000.0,274300.0,322900.0,279500.0,300125.0
1996-09,304900.0,503800.0,232300.0,257900.0,224900.0,274100.0,323700.0,279100.0,300087.5
1996-10,304800.0,503000.0,232600.0,257800.0,225900.0,274100.0,324800.0,279000.0,300250.0
1996-11,305000.0,502700.0,233200.0,257900.0,227100.0,274300.0,326000.0,279100.0,300662.5
1996-12,305600.0,503100.0,234100.0,258300.0,228400.0,274900.0,327600.0,279500.0,301437.5
1997-01,306500.0,504300.0,235100.0,258900.0,229900.0,275600.0,329500.0,280200.0,302500.0
1997-02,307200.0,506200.0,236000.0,259600.0,231300.0,276400.0,331400.0,280800.0,303612.5
1997-03,307500.0,508400.0,236700.0,260000.0,232400.0,277000.0,333100.0,281200.0,304537.5
1997-04,307800.0,511200.0,237500.0,260600.0,233500.0,277800.0,334900.0,281700.0,305625.0
1997-05,308100.0,514800.0,238300.0,261400.0,234700.0,278700.0,336900.0,282400.0,306912.5
1997-06,308500.0,519000.0,239300.0,262400.0,235900.0,280000.0,339000.0,283200.0,308412.5
1997-07,309100.0,523800.0,240500.0,263700.0,237200.0,281600.0,341400.0,284200.0,310187.5
1997-08,309800.0,528900.0,241800.0,265300.0,238600.0,283500.0,343900.0,285400.0,312150.0
1997-09,310800.0,534100.0,243400.0,267200.0,240100.0,285700.0,346600.0,286900.0,314350.0
1997-10,312000.0,539400.0,245300.0,269400.0,241800.0,288400.0,349500.0,288700.0,316812.5
1997-11,313500.0,544700.0,247500.0,271800.0,243500.0,291300.0,352400.0,290800.0,319437.5
1997-12,315500.0,550000.0,250100.0,274700.0,245600.0,294600.0,355800.0,293500.0,322475.0
1998-01,317800.0,555400.0,252900.0,277700.0,247700.0,298200.0,359300.0,296400.0,325675.0
1998-02,320000.0,560500.0,255600.0,280800.0,249600.0,301600.0,362700.0,299400.0,328775.0
1998-03,321800.0,565100.0,258200.0,283700.0,251200.0,305000.0,365600.0,302200.0,331600.0
1998-04,323800.0,569600.0,260800.0,286700.0,252700.0,308400.0,368700.0,305400.0,334512.5
1998-05,326000.0,574000.0,263300.0,289700.0,254200.0,311800.0,371700.0,308700.0,337425.0
1998-06,328300.0,578500.0,265900.0,292900.0,255800.0,315300.0,374800.0,312400.0,340487.5
1998-07,330900.0,583000.0,268500.0,296300.0,257300.0,318900.0,377900.0,316300.0,343637.5
1998-08,333700.0,587400.0,271100.0,299700.0,258900.0,322600.0,381100.0,320400.0,346862.5
1998-09,336800.0,591700.0,273700.0,303100.0,260700.0,326300.0,384200.0,324600.0,350137.5
1998-10,340300.0,595700.0,276400.0,306700.0,262500.0,330100.0,387400.0,328900.0,353500.0
1998-11,344100.0,599600.0,278900.0,310300.0,264500.0,333800.0,390500.0,333100.0,356850.0
1998-12,348300.0,603400.0,281500.0,313900.0,266700.0,337600.0,393900.0,337400.0,360337.5
1999-01,352800.0,607100.0,284000.0,317600.0,269000.0,341200.0,397300.0,341400.0,363800.0
1999-02,357000.0,610700.0,286100.0,320900.0,271100.0,344500.0,400500.0,344700.0,366937.5
1999-03,360700.0,613700.0,287800.0,323700.0,272900.0,347300.0,403300.0,347300.0,369587.5
1999-04,364400.0,616700.0,289200.0,326400.0,274700.0,350000.0,406200.0,349500.0,372137.5
1999-05,368000.0,619800.0,290400.0,328900.0,276500.0,352500.0,409000.0,351500.0,374575.0
1999-06,371700.0,623000.0,291600.0,331300.0,278400.0,354900.0,411900.0,353300.0,377012.5
1999-07,375500.0,626600.0,292800.0,333700.0,280400.0,357300.0,414900.0,355000.0,379525.0
1999-08,379300.0,630500.0,294300.0,336200.0,282600.0,359800.0,418000.0,357000.0,382212.5
1999-09,383400.0,634500.0,296100.0,338600.0,284900.0,362300.0,421300.0,359100.0,385025.0
