,92602,92603,92604,92606,92612,92614,92618,92620,Irvine Average TopTier House Price
1996-04,365300.0,713000.0,282400.0,310800.0,253000.0,303500.0,324400.0,341000.0,361675.0
1996-05,365400.0,710100.0,281500.0,310700.0,253300.0,303100.0,323800.0,340100.0,361000.0
1996-06,365400.0,707200.0,280800.0,310700.0,253700.0,302600.0,323300.0,339000.0,360337.5
1996-07,365300.0,704600.0,280200.0,310800.0,254100.0,302100.0,322800.0,337900.0,359725.0
1996-08,365300.0,702600.0,279900.0,311000.0,254700.0,301500.0,322500.0,336900.0,359300.0
1996-09,365300.0,701400.0,279800.0,311400.0,255500.0,300800.0,322300.0,335900.0,359050.0
1996-10,365500.0,701300.0,279800.0,312000.0,256300.0,300200.0,322400.0,335200.0,359087.5
1996-11,365800.0,702200.0,280000.0,312900.0,257300.0,299600.0,322900.0,334800.0,359437.5
1996-12,366600.0,704100.0,280400.0,314000.0,258600.0,299300.0,323900.0,334900.0,360225.0
1997-01,367600.0,706400.0,280900.0,315500.0,260100.0,299400.0,325400.0,335300.0,361325.0
1997-02,368200.0,708900.0,281400.0,316900.0,261600.0,299400.0,327100.0,335900.0,362425.0
1997-03,368400.0,711300.0,281600.0,318100.0,262800.0,299300.0,328800.0,336500.0,363350.0
1997-04,368500.0,713900.0,282000.0,319300.0,264000.0,299500.0,330900.0,337400.0,364437.5
1997-05,368700.0,716600.0,282700.0,320700.0,265400.0,300200.0,333400.0,338600.0,365787.5
1997-06,369000.0,719300.0,283600.0,322200.0,267000.0,301400.0,336100.0,340200.0,367350.0
1997-07,369400.0,722000.0,285000.0,324000.0,268900.0,303100.0,339000.0,342200.0,369200.0
1997-08,369800.0,724700.0,286900.0,326200.0,271000.0,305500.0,342200.0,344400.0,371337.5
1997-09,370400.0,727200.0,289300.0,328600.0,273500.0,308500.0,345600.0,346900.0,373750.0
1997-10,371000.0,729800.0,292200.0,331500.0,276100.0,312100.0,349200.0,349800.0,376462.5
1997-11,371800.0,732200.0,295800.0,334500.0,279100.0,316200.0,352900.0,352900.0,379425.0
1997-12,373000.0,734400.0,299800.0,338000.0,282600.0,321200.0,357000.0,356500.0,382812.5
1998-01,374400.0,736100.0,304100.0,341800.0,286400.0,326700.0,361200.0,360200.0,386362.5
1998-02,375700.0,737600.0,308300.0,345600.0,290100.0,332100.0,365200.0,363800.0,389800.0
1998-03,376600.0,739100.0,312300.0,349000.0,293600.0,337300.0,369000.0,367200.0,393012.5
1998-04,377800.0,741200.0,316400.0,352400.0,297100.0,342600.0,372800.0,370700.0,396375.0
1998-05,379300.0,744000.0,320300.0,355900.0,300400.0,347800.0,376400.0,374300.0,399800.0
1998-06,381400.0,747600.0,324300.0,359400.0,303700.0,352800.0,380100.0,377900.0,403400.0
1998-07,384000.0,751800.0,328100.0,363000.0,306800.0,357700.0,383500.0,381700.0,407075.0
1998-08,387200.0,756500.0,331900.0,366900.0,309700.0,362400.0,386900.0,385600.0,410887.5
1998-09,390900.0,761600.0,335500.0,370900.0,312400.0,366800.0,390100.0,389600.0,414725.0
1998-10,395100.0,767200.0,339100.0,375300.0,315000.0,370900.0,393200.0,393600.0,418675.0
1998-11,399700.0,772900.0,342400.0,379700.0,317400.0,374600.0,396100.0,397600.0,422550.0
1998-12,405100.0,778500.0,345600.0,384500.0,319800.0,378100.0,399000.0,401900.0,426562.5
1999-01,410600.0,783400.0,348500.0,389500.0,322200.0,381400.0,401900.0,406200.0,430462.5
1999-02,415800.0,787400.0,350900.0,394300.0,324500.0,384100.0,404500.0,410100.0,433950.0
1999-03,420400.0,791000.0,352700.0,398600.0,326400.0,385900.0,406700.0,413800.0,436937.5
1999-04,425100.0,794500.0,354200.0,402800.0,328100.0,387400.0,408700.0,417400.0,439775.0
1999-05,429900.0,798300.0,355400.0,406800.0,329800.0,388600.0,410800.0,420900.0,442562.5
1999-06,434800.0,802600.0,356600.0,410800.0,331700.0,389600.0,413000.0,424300.0,445425.0
1999-07,440000.0,807400.0,357700.0,414900.0,333700.0,390400.0,415400.0,427500.0,448375.0
1999-08,445500.0,812900.0,358800.0,419000.0,336000.0,391300.0,417800.0,430400.0,451462.5
1999-09,451400.0,819200.0,360100.0,423100.0,338500.0,392400.0,420500.0,433200.0,454800.0
1999-10,457900.0,826600.0,361700.0,427400.0,341300.0,393700.0,423400.0,435900.0,458487.5
1999-11,464900.0,834800.0,363700.0,431700.0,344400.0,395300.0,426500.0,438600.0,462487.5
1999-12,472800.0,843600.0,366000.0,436000.0,347900.0,397300.0,429900.0,441500.0,466875.0
2000-01,481200.0,852600.0,368500.0,440400.0,351800.0,399700.0,433600.0,444400.0,471525.0
2000-02,489500.0,861500.0,371000.0,444600.0,355700.0,402100.0,437400.0,447000.0,476100.0
2000-03,497400.0,870300.0,373300.0,448200.0,359200.0,404300.0,441000.0,449100.0,480350.0
2000-04,505300.0,879500.0,375600.0,451600.0,362600.0,406500.0,444800.0,451200.0,484637.5
2000-05,513200.0,888800.0,378300.0,454900.0,365700.0,408900.0,448900.0,453500.0,489025.0
2000-06,521000.0,898400.0,381200.0,458400.0,368600.0,411300.0,453500.0,456000.0,493550.0
2000-07,528500.0,908000.0,384500.0,462000.0,371400.0,413800.0,458400.0,459000.0,498200.0
2000-08,535600.0,917800.0,388200.0,465900.0,374000.0,416500.0,463700.0,462600.0,503037.5
2000-09,542100.0,927800.0,392300.0,470200.0,376500.0,419300.0,469400.0,466800.0,508050.0
2000-10,548100.0,938400.0,396800.0,474800.0,379000.0,422200.0,475300.0,471600.0,513275.0
2000-11,553600.0,949500.0,401700.0,479600.0,381400.0,425200.0,481300.0,476700.0,518625.0
2000-12,558600.0,960700.0,406700.0,484600.0,383900.0,428300.0,487400.0,482200.0,524050.0
2001-01,562900.0,971200.0,411500.0,489600.0,386700.0,431400.0,493500.0,487800.0,529325.0
2001-02,566400.0,980700.0,415900.0,494500.0,389500.0,434400.0,499200.0,493100.0,534212.5
