Date,92618 Zipcode Avg SFR Monthly House Prices
1996-04,320600
1996-05,321100
1996-06,321600
1996-07,322200
1996-08,322900
1996-09,323700
1996-10,324800
1996-11,326000
1996-12,327600
1997-01,329500
1997-02,331400
1997-03,333100
1997-04,334900
1997-05,336900
1997-06,339000
1997-07,341400
1997-08,343900
1997-09,346600
1997-10,349500
1997-11,352400
1997-12,355800
1998-01,359300
1998-02,362700
1998-03,365600
1998-04,368700
1998-05,371700
1998-06,374800
1998-07,377900
1998-08,381100
1998-09,384200
1998-10,387400
1998-11,390500
1998-12,393900
1999-01,397300
1999-02,400500
1999-03,403300
1999-04,406200
1999-05,409000
1999-06,411900
1999-07,414900
1999-08,418000
1999-09,421300
1999-10,424700
1999-11,428300
1999-12,432100
2000-01,436100
2000-02,440100
2000-03,443800
2000-04,447600
2000-05,451400
2000-06,455400
2000-07,459700
2000-08,464200
2000-09,468900
2000-10,473800
2000-11,478700
2000-12,483800
2001-01,488900
2001-02,493900
2001-03,498600
2001-04,503300
2001-05,507900
2001-06,512600
2001-07,517700
2001-08,522900
2001-09,528300
2001-10,533800
2001-11,539400
2001-12,544800
2002-01,550200
2002-02,555600
2002-03,560900
2002-04,565900
2002-05,571000
2002-06,576400
2002-07,582200
2002-08,588300
2002-09,594600
2002-10,601100
2002-11,608200
2002-12,615900
2003-01,623200
2003-02,629800
2003-03,636700
2003-04,644600
2003-05,653500
2003-06,663600
2003-07,674900
2003-08,687500
2003-09,701400
2003-10,716700
2003-11,733200
2003-12,750900
2004-01,769700
2004-02,789800
2004-03,811400
2004-04,834300
2004-05,857600
2004-06,880700
2004-07,902500
2004-08,921900
2004-09,937900
2004-10,951100
2004-11,962300
2004-12,972400
2005-01,981600
2005-02,989600
2005-03,996200
2005-04,1000700
2005-05,1003100
2005-06,1004400
2005-07,1005400
2005-08,1007400
2005-09,1011000
2005-10,1015600
2005-11,1020200
2005-12,1024700
2006-01,1029500
2006-02,1034100
2006-03,1037700
2006-04,1039300
2006-05,1039300
2006-06,1038800
2006-07,1037900
2006-08,1037100
2006-09,1037000
2006-10,1036900
2006-11,1036200
2006-12,1036300
2007-01,1037700
2007-02,1038800
2007-03,1037900
2007-04,1035500
2007-05,1032000
2007-06,1025600
2007-07,1013000
2007-08,995900
2007-09,979000
2007-10,963800
2007-11,949000
2007-12,934500
2008-01,921500
2008-02,911000
2008-03,902600
2008-04,897600
2008-05,898000
2008-06,902600
2008-07,904600
2008-08,902300
2008-09,900400
2008-10,900600
2008-11,899900
2008-12,898700
2009-01,897800
2009-02,895700
2009-03,890300
2009-04,883000
2009-05,876600
2009-06,872700
2009-07,870400
2009-08,870400
2009-09,873200
2009-10,877000
2009-11,878700
2009-12,879500
2010-01,880800
2010-02,879700
2010-03,881600
2010-04,890800
2010-05,897700
2010-06,895800
2010-07,900900
2010-08,914100
2010-09,922000
2010-10,923200
2010-11,924300
2010-12,923900
2011-01,920800
2011-02,916900
2011-03,911300
2011-04,902200
2011-05,893200
2011-06,887400
2011-07,883000
2011-08,879300
2011-09,875200
2011-10,871800
2011-11,875700
2011-12,884000
2012-01,887800
2012-02,894100
2012-03,906400
2012-04,917800
2012-05,926200
2012-06,936300
2012-07,947300
2012-08,954100
2012-09,959000
2012-10,964100
2012-11,966200
2012-12,968600
2013-01,976700
2013-02,985600
2013-03,992900
2013-04,1001600
2013-05,1007800
2013-06,1013300
2013-07,1020400
2013-08,1028100
2013-09,1035800
2013-10,1045100
2013-11,1052500
2013-12,1053800
2014-01,1053900
2014-02,1056600
2014-03,1058600
2014-04,1059600
2014-05,1067100
2014-06,1075600
2014-07,1078700
2014-08,1079300
2014-09,1081700
2014-10,1085600
2014-11,1093300
2014-12,1099100
2015-01,1101300
2015-02,1105800
2015-03,1113800
2015-04,1119600
2015-05,1122700
2015-06,1128000
2015-07,1132500
2015-08,1138100
2015-09,1147400
2015-10,1157400
2015-11,1163900
2015-12,1174100
2016-01,1186000
2016-02,1196100
2016-03,1204300
2016-04,1211700
2016-05,1218700
2016-06,1221300
2016-07,1220600
2016-08,1218900
2016-09,1218600
2016-10,1217400
2016-11,1214300
2016-12,1212200
2017-01,1218700
2017-02,1227300
2017-03,1228900
2017-04,1229900
2017-05,1237600
2017-06,1250100
2017-07,1261900
2017-08,1271300
2017-09,1278200
2017-10,1282900
2017-11,1290000
2017-12,1301300
2018-01,1309700
2018-02,1313200
2018-03,1318900
2018-04,1323800
