City,Zipcode,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Price,Number of Bedrooms,Type
Aliso Viejo,92656,314000.0,285200.0,265100.0,244200.0,268900.0,357500.0,359800,384600,404500,434000,335750.0,BottomTier,BottomTier
Anaheim,92801,299600.0,273000.0,277100.0,243900.0,268100.0,327800.0,350000,374200,414600,433400,313700.0,BottomTier,BottomTier
Anaheim,92802,328900.0,295000.0,283900.0,258300.0,289400.0,346100.0,367900,411100,426100,448600,337500.0,BottomTier,BottomTier
Anaheim,92804,342200.0,310600.0,313500.0,285200.0,311500.0,378400.0,398000,435000,473900,513000,360300.0,BottomTier,BottomTier
Anaheim,92805,318700.0,270700.0,280900.0,265400.0,290000.0,341300.0,362700,394300,435000,464200,330000.0,BottomTier,BottomTier
Anaheim,92806,369600.0,334700.0,326500.0,319200.0,341200.0,406400.0,427900,455100,485600,544800,388000.0,BottomTier,BottomTier
Anaheim,92807,419600.0,405000.0,398000.0,376500.0,403400.0,476800.0,498500,538700,553600,599700,448200.0,BottomTier,BottomTier
Anaheim,92808,361300.0,348800.0,328400.0,293000.0,329600.0,393300.0,408300,439800,450000,492400,377300.0,BottomTier,BottomTier
Brea,92821,397000.0,376400.0,370000.0,343000.0,369400.0,434400.0,471400,497000,534700,563900,415700.0,BottomTier,BottomTier
Brea,92823,498200.0,493500.0,470200.0,452100.0,475100.0,546400.0,580700,623800,661800,695000,522300.0,BottomTier,BottomTier
Buena Park,90620,362600.0,337500.0,335100.0,321400.0,348500.0,408400.0,430500,469000,493000,551200,385500.0,BottomTier,BottomTier
Buena Park,90621,313400.0,271600.0,267300.0,269400.0,276800.0,339000.0,365100,399800,429000,470100,326200.0,BottomTier,BottomTier
Costa Mesa,92626,469700.0,444100.0,428800.0,418900.0,441000.0,548800.0,562500,611100,645700,699600,509250.0,BottomTier,BottomTier
Costa Mesa,92627,420800.0,387900.0,375500.0,361000.0,417500.0,476700.0,513700,563700,580100,622800,448750.0,BottomTier,BottomTier
Coto de Caza,92679,491100.0,460400.0,435200.0,431100.0,437500.0,525800.0,561000,602000,636500,660700,508450.0,BottomTier,BottomTier
Cypress,90630,384500.0,373900.0,361800.0,320000.0,346400.0,395800.0,424300,450600,472200,514200,390150.0,BottomTier,BottomTier
Dana Point,92629,493700.0,462800.0,412600.0,373700.0,438700.0,523200.0,520700,568900,589500,630900,507200.0,BottomTier,BottomTier
Fountain Valley,92708,434000.0,429700.0,386200.0,376900.0,413200.0,481000.0,493800,538600,561200,602500,457500.0,BottomTier,BottomTier
Fullerton,92831,329400.0,306400.0,278500.0,268100.0,292500.0,349600.0,364100,398300,425900,459700,339500.0,BottomTier,BottomTier
Fullerton,92832,331400.0,278800.0,288500.0,269500.0,307100.0,364400.0,400400,427400,450400,493200,347900.0,BottomTier,BottomTier
Fullerton,92833,338000.0,309700.0,315300.0,296200.0,330000.0,392200.0,410500,438400,472800,512400,365100.0,BottomTier,BottomTier
Fullerton,92835,449000.0,427800.0,420100.0,396900.0,419600.0,492200.0,523100,566000,589000,628700,470600.0,BottomTier,BottomTier
Garden Grove,92840,327100.0,304000.0,299000.0,271500.0,294400.0,360500.0,386000,413900,428700,466000,343800.0,BottomTier,BottomTier
Garden Grove,92841,354000.0,323100.0,327400.0,322400.0,342700.0,399200.0,421800,450300,494800,536300,376600.0,BottomTier,BottomTier
Garden Grove,92843,301500.0,271600.0,263900.0,246200.0,275400.0,328500.0,342400,367900,390500,431700,315000.0,BottomTier,BottomTier
Garden Grove,92844,277500.0,241300.0,241500.0,228500.0,252300.0,309300.0,323000,345700,368000,408200,293400.0,BottomTier,BottomTier
Garden Grove,92845,441100.0,458000.0,418300.0,375400.0,413700.0,476200.0,498300,557000,595900,629300,467100.0,BottomTier,BottomTier
Huntington Beach,92646,403600.0,397800.0,359500.0,324000.0,349900.0,423800.0,435800,464400,499300,530200,413700.0,BottomTier,BottomTier
Huntington Beach,92647,478700.0,464000.0,453300.0,430600.0,462900.0,544600.0,560500,605200,630600,663000,511650.0,BottomTier,BottomTier
Huntington Beach,92648,473900.0,462900.0,422800.0,405000.0,443200.0,507700.0,515300,569800,585600,642800,490800.0,BottomTier,BottomTier
Huntington Beach,92649,382400.0,383700.0,342300.0,326900.0,335300.0,385300.0,417400,447800,472400,533000,384500.0,BottomTier,BottomTier
Irvine,92602,496100.0,500700.0,476300.0,444900.0,469300.0,568200.0,570200,595900,615400,665700,534450.0,BottomTier,BottomTier
Irvine,92603,547700.0,534000.0,518000.0,489700.0,536400.0,625200.0,646900,667500,691100,730700,586450.0,BottomTier,BottomTier
Irvine,92604,394900.0,380300.0,380400.0,353600.0,385600.0,473400.0,496800,506400,533000,595100,434150.0,BottomTier,BottomTier
Irvine,92606,422800.0,422300.0,403700.0,387500.0,406000.0,488400.0,483500,519500,546400,580000,453150.0,BottomTier,BottomTier
Irvine,92612,400800.0,380100.0,360300.0,361000.0,378100.0,433300.0,458300,484300,507700,548900,417050.0,BottomTier,BottomTier
Irvine,92614,372700.0,354700.0,340800.0,316500.0,342900.0,426000.0,441000,452100,472000,519800,399350.0,BottomTier,BottomTier
Irvine,92617,,,,,,440100.0,443800,409100,422000,503100,440100.0,BottomTier,BottomTier
Irvine,92618,358400.0,335800.0,327000.0,323400.0,354700.0,424600.0,438800,462100,474500,510400,391500.0,BottomTier,BottomTier
Irvine,92620,445300.0,435100.0,419400.0,400400.0,438100.0,502700.0,529700,529800,594800,625800,474000.0,BottomTier,BottomTier
La Habra,90631,291700.0,253300.0,271600.0,248200.0,258500.0,309600.0,345900,380800,412900,449000,300650.0,BottomTier,BottomTier
La Palma,90623,478700.0,483800.0,447700.0,414800.0,451400.0,526600.0,535400,560400,600900,644200,505200.0,BottomTier,BottomTier
Ladera Ranch,92694,395900.0,369700.0,373600.0,343200.0,367900.0,463600.0,486800,504800,528400,553900,429750.0,BottomTier,BottomTier
Laguna Beach,92651,1143700.0,971300.0,887200.0,800900.0,891200.0,1031300.0,1161200,1289200,1322400,1430200,1087500.0,BottomTier,BottomTier
Laguna Hills,92653,329700.0,284500.0,281500.0,251700.0,287100.0,365600.0,391500,408200,438900,472400,347650.0,BottomTier,BottomTier
Laguna Niguel,92677,380400.0,362000.0,329300.0,313800.0,332500.0,410500.0,420000,448600,482300,521600,395450.0,BottomTier,BottomTier
Laguna Woods,92637,161400.0,151600.0,122400.0,125100.0,132900.0,158800.0,174400,190800,208600,235300,160100.0,BottomTier,BottomTier
Lake Forest,92610,322100.0,286800.0,288300.0,242300.0,279600.0,325600.0,382900,415300,422000,450200,323850.0,BottomTier,BottomTier
Lake Forest,92630,278600.0,237900.0,234000.0,216400.0,236200.0,316000.0,324300,353200,379700,413600,297300.0,BottomTier,BottomTier
Los Alamitos,90720,527900.0,526900.0,484800.0,478400.0,515900.0,586900.0,619000,640600,683300,750100,557400.0,BottomTier,BottomTier
Mission Viejo,92691,379500.0,366400.0,350800.0,340700.0,355800.0,432700.0,452300,464000,487400,538100,406100.0,BottomTier,BottomTier
Mission Viejo,92692,392400.0,370600.0,353500.0,340200.0,384300.0,456600.0,478000,506800,537300,588700,424500.0,BottomTier,BottomTier
Newport Beach,92625,1226200.0,1207400.0,976200.0,1073100.0,1121800.0,1307300.0,1377300,1437300,1616800,1653100,1266750.0,BottomTier,BottomTier
Newport Beach,92660,668200.0,640000.0,594800.0,562400.0,663400.0,757500.0,823100,860500,892400,949100,712850.0,BottomTier,BottomTier
Newport Beach,92661,,,,,,,1589800,1907700,1801400,2075800,1854550.0,BottomTier,BottomTier
Newport Beach,92662,1448800.0,1538900.0,1476900.0,1452300.0,1463400.0,1723000.0,1935400,2020100,2016700,2064600,1630950.0,BottomTier,BottomTier
Newport Beach,92663,497000.0,461400.0,464800.0,475400.0,460300.0,538300.0,586900,634600,646700,720100,517650.0,BottomTier,BottomTier
Newport Coast,92657,1109300.0,1040500.0,892900.0,952700.0,940500.0,1178500.0,1235900,1354600,1337300,1539200,1143900.0,BottomTier,BottomTier
North Tustin,92705,443800.0,403500.0,413500.0,384800.0,434900.0,487300.0,518100,562500,605600,656900,465550.0,BottomTier,BottomTier
Orange,92865,357300.0,353100.0,322000.0,314500.0,327900.0,385300.0,397400,427500,466800,487600,371300.0,BottomTier,BottomTier
Orange,92866,,,,,,480200.0,499600,529300,579200,600100,529300.0,BottomTier,BottomTier
Orange,92867,431900.0,412800.0,401900.0,383600.0,425300.0,479600.0,509800,564400,598300,636500,455750.0,BottomTier,BottomTier
Orange,92868,280400.0,255900.0,243800.0,230600.0,247300.0,284700.0,325600,348600,387900,414400,282550.0,BottomTier,BottomTier
Orange,92869,374600.0,341900.0,344100.0,321000.0,332500.0,397500.0,399500,468500,485700,515900,386050.0,BottomTier,BottomTier
Placentia,92870,365500.0,338400.0,319700.0,300700.0,332200.0,391500.0,404000,439800,475000,505700,378500.0,BottomTier,BottomTier
Rancho Santa Margarita,92688,286100.0,257800.0,257000.0,230800.0,260900.0,332500.0,343200,371300,389200,423000,309300.0,BottomTier,BottomTier
San Clemente,92624,531300.0,500200.0,460200.0,433800.0,489700.0,587700.0,578400,663600,719800,739400,554850.0,BottomTier,BottomTier
