City,Zipcode,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Price,Type
Aliso Viejo,92656,392000.0,376300.0,357300.0,328200.0,358100.0,437200.0,453300,478500,509100,556300,414600.0,CONDO
Anaheim,92801,293000.0,277900.0,253700.0,227800.0,244400.0,295500.0,330900,363900,381900,412000,294250.0,CONDO
Anaheim,92802,324200.0,287200.0,282400.0,256800.0,276300.0,338500.0,362400,388700,421400,443800,331350.0,CONDO
Anaheim,92804,260200.0,220300.0,206400.0,199500.0,217500.0,272200.0,294300,316300,349700,374500,266200.0,CONDO
Anaheim,92805,336900.0,320000.0,299100.0,261400.0,280100.0,343700.0,358000,383200,399400,434300,340300.0,CONDO
Anaheim,92806,276300.0,235000.0,233300.0,218600.0,251300.0,309600.0,330800,350500,389700,427000,292950.0,CONDO
Anaheim,92807,281600.0,240700.0,233900.0,201600.0,232700.0,282300.0,312700,348000,371700,407900,281950.0,CONDO
Anaheim,92808,357000.0,344800.0,327400.0,289500.0,327700.0,392600.0,404300,434900,446300,487800,374800.0,CONDO
Brea,92821,358200.0,343900.0,320200.0,288200.0,323500.0,359300.0,396100,421900,427900,474100,358750.0,CONDO
Buena Park,90620,433600.0,460400.0,405400.0,378900.0,346700.0,414900.0,518200,523100,554100,546700,447000.0,CONDO
Buena Park,90621,439200.0,410200.0,388500.0,364900.0,388300.0,429500.0,462200,495500,522400,561000,434350.0,CONDO
Costa Mesa,92626,364300.0,346400.0,346700.0,316800.0,332900.0,394600.0,405800,447900,485000,508800,379450.0,CONDO
Costa Mesa,92627,414600.0,398000.0,373100.0,356000.0,392800.0,449400.0,487500,523900,538200,576900,432000.0,CONDO
Coto de Caza,92679,338400.0,314100.0,295600.0,257700.0,290900.0,359200.0,394200,409900,435400,465300,348800.0,CONDO
Cypress,90630,347700.0,351700.0,318200.0,285800.0,314800.0,362300.0,383100,416000,435300,467900,357000.0,CONDO
Dana Point,92629,492200.0,459700.0,413800.0,376000.0,439000.0,520700.0,519400,566700,589700,627700,505800.0,CONDO
Fountain Valley,92708,295500.0,280100.0,243800.0,225300.0,241300.0,305300.0,315700,361000,359100,399300,300400.0,CONDO
Fullerton,92831,256200.0,221400.0,228100.0,198100.0,211200.0,270700.0,288500,315500,339000,375800,263450.0,CONDO
