,Unnamed: 0,State,City,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson1,Overall Crime
0,5,,Aliso Viejo,30,0,2,8,20,437,75,349,13,2,941
1,8,,Anaheim,1281,15,105,446,715,8493,1410,5964,1119,26,19582
2,44,,Brea,58,0,1,27,30,1419,202,1156,61,2,3000
3,49,,Buena Park,230,3,8,76,143,1879,310,1230,339,21,4288
4,92,,Costa Mesa,231,4,30,83,114,3534,524,2743,267,14,7636
5,99,,Cypress,60,1,8,18,33,857,150,647,60,4,1937
6,101,,Dana Point,53,0,0,5,48,627,101,489,37,0,1461
7,144,,Fountain Valley,79,1,8,14,56,1279,273,941,65,1,2861
8,148,,Fullerton,306,2,25,104,175,3550,643,2548,359,11,7871
9,151,,Garden Grove,449,2,19,171,257,3387,717,2242,428,17,7840
10,179,,Huntington Beach,406,4,34,108,260,4589,753,3584,252,20,10189
11,189,,Irvine,120,2,11,40,67,3280,513,2649,118,17,7006
12,198,,Laguna Beach,62,0,6,6,50,604,115,465,24,1,1531
13,199,,Laguna Hills,45,0,2,11,32,597,95,475,27,2,1485
14,200,,Laguna Niguel,43,0,3,13,27,666,118,524,24,4,1622
15,201,,Laguna Woods,8,0,0,5,3,145,25,116,4,0,507
16,202,,La Habra,201,0,3,47,151,1370,233,1026,111,1,3345
17,205,,Lake Forest,89,2,1,22,64,947,140,763,44,8,2285
18,212,,La Palma,11,1,2,6,2,255,63,169,23,2,746
19,228,,Los Alamitos,12,0,0,6,6,304,80,195,29,3,863
20,252,,Mission Viejo,79,0,3,30,46,1216,193,983,40,4,2846
21,275,,Newport Beach,116,0,16,27,73,2223,441,1702,80,11,4964
22,285,,Orange,157,3,6,82,66,2652,445,2001,206,9,5912
23,309,,Placentia,82,1,2,25,54,891,203,627,61,5,2260
24,321,,Rancho Santa Margarita,32,0,1,9,22,368,66,284,18,3,1124
25,348,,San Clemente,55,0,5,15,35,879,206,631,42,11,2227
26,358,,San Juan Capistrano,56,2,4,16,34,450,71,345,34,5,1375
27,367,,Santa Ana,1313,13,62,591,647,6575,1067,4222,1286,101,16244
28,381,,Seal Beach,30,8,1,8,13,530,133,367,30,1,1502
29,400,,Stanton,141,1,7,53,80,629,139,390,100,7,1947
30,419,,Tustin,97,1,7,39,50,1513,243,1167,103,6,3645
31,430,,Villa Park,2,0,0,0,2,75,12,59,4,0,584
32,441,,Westminster,248,3,11,79,155,2504,409,1815,280,4,5949
33,454,,Yorba Linda,49,3,4,9,33,819,152,640,27,3,2193
