,State,City,Population,Total law enforcement employees,Total officers,Total civilians
0,,Anaheim,335133,582,412,170
1,,Brea,39041,145,106,39
2,,Buena Park,79890,139,93,46
3,,Costa Mesa,109835,249,163,86
4,,Cypress,47741,79,57,22
5,,Fountain Valley,55973,80,62,18
6,,Fullerton,133855,226,159,67
7,,Garden Grove,166414,244,165,79
8,,Huntington Beach,195067,353,219,134
9,,Irvine,201872,265,173,92
10,,Laguna Beach,24215,81,47,34
11,,La Habra,59290,105,68,37
12,,La Palma,15821,31,24,7
13,,Los Alamitos,11725,26,22,4
14,,Newport Beach,80377,234,145,89
15,,Orange,135818,234,162,72
16,,Placentia,50428,72,55,17
17,,Santa Ana,340223,666,363,303
18,,Seal Beach,24383,41,30,11
19,,Tustin,69945,146,94,52
20,,Westminster,89700,142,98,44
