,City,Population,Total law enforcement employees,Total officers,Total civilians
0,Anaheim,335970,609,405,204
1,Brea,38637,134,99,35
2,Buena Park,79525,136,90,46
3,Costa Mesa,110150,234,160,74
4,Cypress,47181,73,55,18
5,Fountain Valley,55570,80,59,21
6,Fullerton,132478,224,156,68
7,Garden Grove,165837,240,166,74
8,Huntington Beach,192911,358,225,133
9,Irvine,215673,282,195,87
10,Laguna Beach,24019,82,47,35
11,La Habra,59120,103,68,35
12,La Palma,15619,32,24,8
13,Los Alamitos,11668,26,22,4
14,Newport Beach,79912,228,139,89
15,Orange,137132,229,159,70
16,Placentia,50041,65,49,16
17,Santa Ana,339196,646,353,293
18,Seal Beach,24121,55,31,24
19,Tustin,72286,142,91,51
20,Westminster,89057,140,96,44
