,Zipcode,Total Law Enforcement,Total Police,Total Law Staff
Anaheim,353504,562,408,154
Brea,42465,95,61,34
Buena Park,83768,121,81,40
Costa Mesa,113816,172,112,60
Cypress,49557,69,53,16
Fountain Valley,57291,80,59,21
Fullerton,141968,210,141,69
Garden Grove,176230,218,159,59
Huntington Beach,204071,334,214,120
Irvine,266663,301,213,88
Laguna Beach,23486,83,49,34
La Habra,62483,99,69,30
La Palma,15975,25,19,6
Los Alamitos,11774,26,23,3
Newport Beach,87482,228,140,88
Orange,141841,213,143,70
Placentia,52800,68,45,23
Santa Ana,337419,523,310,213
Seal Beach,24721,45,30,15
Tustin,81642,131,87,44
Westminster,92582,115,79,36
