,Unnamed: 0,State,City,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1,Overall Crime
0,5,,Aliso Viejo,31.0,1.0,5.0,8.0,17.0,526.0,88.0,405.0,33.0,2.0,1121.0
1,8,,Anaheim,1423.0,17.0,96.0,581.0,729.0,8798.0,1827.0,5695.0,1276.0,41.0,20491.0
2,45,,Brea,77.0,0.0,4.0,40.0,33.0,1513.0,207.0,1194.0,112.0,7.0,3232.0
3,50,,Buena Park,317.0,3.0,12.0,131.0,171.0,2058.0,419.0,1122.0,517.0,29.0,4829.0
4,93,,Costa Mesa,258.0,0.0,39.0,77.0,142.0,3336.0,509.0,2426.0,401.0,9.0,7290.0
5,100,,Cypress,96.0,1.0,5.0,38.0,52.0,919.0,206.0,569.0,144.0,8.0,2138.0
6,102,,Dana Point,47.0,0.0,3.0,14.0,30.0,552.0,88.0,425.0,39.0,5.0,1305.0
7,144,,Fountain Valley,111.0,0.0,8.0,40.0,63.0,1443.0,328.0,991.0,124.0,5.0,3257.0
8,148,,Fullerton,467.0,5.0,41.0,186.0,235.0,4128.0,883.0,2731.0,514.0,21.0,9359.0
9,151,,Garden Grove,645.0,8.0,35.0,262.0,340.0,4152.0,866.0,2638.0,648.0,34.0,9779.0
10,180,,Huntington Beach,376.0,0.0,29.0,102.0,245.0,4035.0,795.0,2825.0,415.0,42.0,9044.0
11,190,,Irvine,143.0,4.0,19.0,44.0,76.0,3256.0,637.0,2404.0,215.0,53.0,7041.0
12,200,,Laguna Beach,49.0,0.0,10.0,9.0,30.0,495.0,144.0,320.0,31.0,12.0,1300.0
13,201,,Laguna Hills,55.0,0.0,6.0,14.0,35.0,643.0,149.0,458.0,36.0,7.0,1604.0
14,202,,Laguna Niguel,47.0,0.0,2.0,13.0,32.0,665.0,134.0,490.0,41.0,4.0,1630.0
15,203,,Laguna Woods,3.0,0.0,0.0,1.0,2.0,92.0,8.0,74.0,10.0,0.0,393.0
16,204,,La Habra,209.0,2.0,19.0,66.0,122.0,1451.0,305.0,932.0,214.0,5.0,3529.0
17,207,,Lake Forest,93.0,1.0,6.0,32.0,54.0,1052.0,209.0,765.0,78.0,25.0,2522.0
18,214,,La Palma,45.0,0.0,1.0,8.0,36.0,296.0,87.0,179.0,30.0,,896.0
19,230,,Los Alamitos,34.0,0.0,2.0,17.0,15.0,340.0,79.0,226.0,35.0,5.0,983.0
20,251,,Mission Viejo,82.0,0.0,1.0,28.0,53.0,1313.0,205.0,1007.0,101.0,14.0,3055.0
21,274,,Newport Beach,172.0,1.0,4.0,53.0,114.0,2228.0,645.0,1429.0,154.0,9.0,5083.0
22,284,,Orange,266.0,1.0,8.0,116.0,141.0,3049.0,458.0,2158.0,433.0,46.0,6960.0
23,309,,Placentia,90.0,1.0,1.0,19.0,69.0,710.0,165.0,444.0,101.0,14.0,1923.0
24,320,,Rancho Santa Margarita,30.0,0.0,2.0,8.0,20.0,538.0,103.0,395.0,40.0,1.0,1457.0
25,348,,San Clemente,83.0,1.0,6.0,21.0,55.0,779.0,195.0,515.0,69.0,12.0,2084.0
26,357,,San Juan Capistrano,67.0,1.0,5.0,17.0,44.0,490.0,116.0,320.0,54.0,9.0,1480.0
27,366,,Santa Ana,1947.0,23.0,65.0,779.0,1080.0,7797.0,1013.0,4684.0,2100.0,120.0,19974.0
28,380,,Seal Beach,37.0,0.0,2.0,10.0,25.0,406.0,77.0,282.0,47.0,3.0,1269.0
29,399,,Stanton,169.0,2.0,6.0,85.0,76.0,738.0,183.0,409.0,146.0,16.0,2229.0
30,418,,Tustin,137.0,2.0,17.0,64.0,54.0,1575.0,288.0,1106.0,181.0,19.0,3861.0
31,429,,Villa Park,4.0,0.0,1.0,1.0,2.0,115.0,23.0,91.0,1.0,0.0,667.0
32,440,,Westminster,355.0,2.0,22.0,124.0,207.0,2657.0,533.0,1766.0,358.0,25.0,6489.0
33,452,,Yorba Linda,44.0,0.0,7.0,10.0,27.0,1031.0,173.0,802.0,56.0,9.0,2611.0
