,Unnamed: 0,City,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1,Unnamed: 12,Unnamed: 13,Unnamed: 14,Overall Crime
0,5,Aliso Viejo,36.0,0.0,2.0,18.0,16.0,505,91.0,384.0,30.0,12.0,,,,594.0
1,8,Anaheim,1312.0,11.0,83.0,573.0,645.0,8331,1604.0,5633.0,1094.0,44.0,,,,11007.0
2,44,Brea,83.0,0.0,7.0,34.0,42.0,1428,167.0,1156.0,105.0,0.0,,,,1638.0
3,49,Buena Park,262.0,2.0,12.0,106.0,142.0,2139,418.0,1206.0,515.0,34.0,,,,2746.0
4,93,Costa Mesa,350.0,1.0,39.0,120.0,190.0,3367,516.0,2547.0,304.0,12.0,,,,4172.0
5,100,Cypress,118.0,1.0,6.0,33.0,78.0,817,165.0,546.0,106.0,4.0,,,,1157.0
6,102,Dana Point,48.0,0.0,4.0,9.0,35.0,581,96.0,448.0,37.0,8.0,,,,787.0
7,144,Fountain Valley,104.0,0.0,2.0,36.0,66.0,1376,276.0,1006.0,94.0,9.0,,,,1737.0
8,148,Fullerton,410.0,2.0,36.0,145.0,227.0,4143,816.0,2935.0,392.0,17.0,,,,5128.0
9,151,Garden Grove,609.0,3.0,20.0,248.0,338.0,3848,828.0,2454.0,566.0,28.0,,,,5245.0
10,180,Huntington Beach,388.0,3.0,33.0,118.0,234.0,4328,749.0,3265.0,314.0,34.0,,,,5318.0
11,190,Irvine,129.0,1.0,18.0,54.0,56.0,3211,452.0,2556.0,203.0,44.0,,,,3703.0
12,200,Laguna Beach,79.0,0.0,10.0,6.0,63.0,587,154.0,411.0,22.0,2.0,,,,947.0
13,201,Laguna Hills,41.0,0.0,0.0,13.0,28.0,580,100.0,444.0,36.0,10.0,,,,873.0
14,202,Laguna Niguel,52.0,1.0,1.0,19.0,31.0,621,124.0,464.0,33.0,15.0,,,,942.0
15,203,Laguna Woods,6.0,1.0,0.0,3.0,2.0,121,14.0,98.0,9.0,2.0,,,,338.0
16,204,La Habra,177.0,0.0,14.0,58.0,105.0,1310,308.0,869.0,133.0,1.0,,,,1869.0
17,207,Lake Forest,108.0,1.0,7.0,32.0,68.0,921,178.0,680.0,63.0,21.0,,,,1365.0
18,214,La Palma,31.0,0.0,1.0,17.0,13.0,261,81.0,161.0,19.0,0.0,,,,537.0
19,230,Los Alamitos,24.0,0.0,1.0,14.0,9.0,290,53.0,190.0,47.0,5.0,,,,573.0
20,251,Mission Viejo,101.0,0.0,3.0,40.0,58.0,1206,204.0,936.0,66.0,22.0,,,,1681.0
21,274,Newport Beach,151.0,0.0,5.0,44.0,102.0,2197,454.0,1629.0,114.0,12.0,,,,2785.0
22,284,Orange,220.0,1.0,8.0,100.0,111.0,3022,426.0,2207.0,389.0,41.0,,,,3787.0
23,309,Placentia,108.0,1.0,4.0,29.0,74.0,839,196.0,553.0,90.0,11.0,,,,1375.0
24,320,Rancho Santa Margarita,26.0,0.0,2.0,6.0,18.0,532,96.0,413.0,23.0,6.0,,,,910.0
25,348,San Clemente,74.0,5.0,3.0,15.0,51.0,796,201.0,540.0,55.0,9.0,,,,1301.0
26,358,San Juan Capistrano,62.0,0.0,2.0,16.0,44.0,508,107.0,362.0,39.0,12.0,,,,1002.0
27,367,Santa Ana,1726.0,30.0,66.0,842.0,788.0,6980,1097.0,4348.0,1535.0,125.0,,,,10924.0
28,381,Seal Beach,58.0,0.0,3.0,12.0,43.0,472,109.0,317.0,46.0,5.0,,,,974.0
29,400,Stanton,167.0,2.0,6.0,78.0,81.0,743,185.0,435.0,123.0,12.0,,,,1489.0
30,419,Tustin,109.0,1.0,11.0,52.0,45.0,1555,210.0,1193.0,152.0,10.0,,,,2202.0
31,430,Villa Park,5.0,0.0,0.0,3.0,2.0,148,31.0,116.0,1.0,0.0,,,,588.0
32,441,Westminster,238.0,1.0,11.0,98.0,128.0,2634,509.0,1782.0,343.0,12.0,,,,3563.0
33,453,Yorba Linda,46.0,4.0,3.0,13.0,26.0,972,141.0,778.0,53.0,3.0,,,,1520.0
