,Unnamed: 0,City,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,Overall Crime
0,5,Aliso Viejo,43,0,0,6,37,415,102,300,13,0,921
1,8,Anaheim,1279,15,82,440,742,10070,1605,7025,1440,27,22733
2,44,Brea,74,0,2,23,49,1292,191,1052,49,1,2777
3,49,Buena Park,206,1,13,77,115,2066,342,1415,309,8,4601
4,92,Costa Mesa,254,4,32,83,135,4079,668,3050,361,24,8782
5,99,Cypress,56,0,2,17,37,1018,183,771,64,3,2250
6,101,Dana Point,65,0,5,13,47,604,129,444,31,2,1441
7,144,Fountain Valley,106,1,7,17,81,1469,299,1063,107,4,3298
8,148,Fullerton,452,0,31,137,284,3937,742,2872,323,12,8938
9,151,Garden Grove,439,1,16,135,287,4017,761,2655,601,21,9084
10,179,Huntington Beach,313,3,31,83,196,5470,797,4352,321,39,11784
11,189,Irvine,110,2,8,29,71,3304,570,2599,135,22,7039
12,199,Laguna Beach,57,1,6,7,43,548,123,399,26,4,1413
13,200,Laguna Hills,29,1,4,12,12,620,85,502,33,1,1499
14,201,Laguna Niguel,47,0,6,16,25,764,188,541,35,2,1825
15,202,Laguna Woods,4,0,0,2,2,148,20,121,7,0,506
16,203,La Habra,147,2,7,45,93,1150,255,789,106,3,2800
17,206,Lake Forest,107,0,8,20,79,1088,227,798,63,4,2600
18,213,La Palma,18,0,1,7,10,340,85,227,28,1,930
19,229,Los Alamitos,27,0,2,12,13,357,80,253,24,0,997
20,252,Mission Viejo,73,0,3,28,42,1197,216,936,45,6,2798
21,275,Newport Beach,101,1,11,27,62,2151,445,1611,95,6,4785
22,285,Orange,135,4,8,54,69,2833,500,2044,289,26,6247
23,310,Placentia,107,1,4,29,73,906,183,627,96,2,2338
24,322,Rancho Santa Margarita,27,0,2,10,15,319,69,240,10,1,1015
25,349,San Clemente,75,0,6,24,45,839,175,603,61,3,2180
26,359,San Juan Capistrano,59,0,3,13,43,519,102,380,37,8,1523
27,368,Santa Ana,1334,11,55,541,727,7389,1032,4779,1578,36,17850
28,382,Seal Beach,17,0,1,5,11,545,135,387,23,1,1507
29,401,Stanton,104,1,3,46,54,630,121,381,128,5,1874
30,420,Tustin,114,0,11,36,67,1653,240,1282,131,9,3963
31,431,Villa Park,2,0,0,0,2,87,22,62,3,0,609
32,442,Westminster,284,2,9,88,185,2875,466,2086,323,7,6767
33,455,Yorba Linda,53,0,3,11,39,787,223,532,32,3,2138
