City,Zipcode,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Price,Type
Aliso Viejo,92656,599400.0,595800.0,576400.0,544000.0,575000.0,691700.0,721800,741900,770100,810300,645550.0,SFR
Anaheim,92801,368600.0,333600.0,333200.0,320900.0,355400.0,416100.0,435700,463800,493800,540500,392350.0,SFR
Anaheim,92802,398700.0,364300.0,360700.0,352600.0,377800.0,434900.0,459400,499200,541700,581500,416800.0,SFR
Anaheim,92804,392500.0,356500.0,353500.0,342900.0,376000.0,432500.0,455400,498700,530600,570600,412500.0,SFR
Anaheim,92805,371300.0,325900.0,326100.0,313400.0,344300.0,407600.0,429000,455700,494200,538600,389450.0,SFR
Anaheim,92806,433200.0,400100.0,396600.0,377200.0,409200.0,476300.0,503200,549400,581800,614200,454750.0,SFR
Anaheim,92807,547000.0,523300.0,507500.0,492400.0,529000.0,616400.0,630100,678200,708800,741700,581700.0,SFR
Anaheim,92808,628000.0,623800.0,589900.0,571200.0,611300.0,688100.0,717900,742600,777900,831400,658050.0,SFR
Brea,92821,517600.0,519000.0,493500.0,464100.0,526500.0,592500.0,611900,648900,673400,715200,559500.0,SFR
Brea,92823,603400.0,598500.0,586800.0,568600.0,615000.0,670700.0,707200,753900,771000,809100,642850.0,SFR
Buena Park,90620,399500.0,381900.0,368400.0,356700.0,385400.0,446600.0,460400,504000,533200,578200,423050.0,SFR
Buena Park,90621,404300.0,374100.0,355800.0,335200.0,368600.0,425800.0,456600,491000,528500,564000,415050.0,SFR
Costa Mesa,92626,541000.0,543000.0,504200.0,495700.0,549000.0,632100.0,664400,711800,751100,795000,590550.0,SFR
Costa Mesa,92627,586300.0,561000.0,548700.0,506000.0,606700.0,691800.0,746400,799700,816800,889800,649250.0,SFR
Coto de Caza,92679,739200.0,712900.0,699400.0,652100.0,705500.0,818000.0,831800,880300,890800,943100,778600.0,SFR
Cypress,90630,503500.0,502000.0,488700.0,463400.0,480400.0,540200.0,570800,625300,642200,683100,521850.0,SFR
Dana Point,92629,795600.0,751100.0,698000.0,668800.0,727600.0,859300.0,850700,919600,956700,1076000,823150.0,SFR
Fountain Valley,92708,576200.0,578900.0,569000.0,528500.0,586200.0,651500.0,679100,721500,742100,797400,618850.0,SFR
Fullerton,92831,496300.0,488200.0,449900.0,434100.0,474400.0,552800.0,573700,622300,631400,676300,524550.0,SFR
Fullerton,92832,378400.0,334300.0,331500.0,318300.0,360200.0,430700.0,447100,470300,510500,550400,404550.0,SFR
Fullerton,92833,433500.0,413100.0,394400.0,369300.0,403300.0,472000.0,496500,530900,560100,613600,452750.0,SFR
Fullerton,92835,629500.0,615100.0,587800.0,555800.0,592700.0,682300.0,694200,754900,771600,812300,655900.0,SFR
Garden Grove,92840,393000.0,364600.0,359900.0,350200.0,382200.0,434700.0,457200,496200,538300,584000,413850.0,SFR
Garden Grove,92841,407000.0,382600.0,378100.0,358600.0,396700.0,456300.0,478600,526300,557200,604400,431650.0,SFR
Garden Grove,92843,396500.0,371000.0,357700.0,352700.0,384000.0,431800.0,460300,499500,530700,569700,414150.0,SFR
Garden Grove,92844,406500.0,378600.0,376800.0,358100.0,392500.0,439400.0,464600,508800,539700,588000,422950.0,SFR
Garden Grove,92845,483200.0,477100.0,457000.0,422200.0,461300.0,523400.0,541700,596300,634800,664300,503300.0,SFR
Huntington Beach,92646,628800.0,636900.0,604100.0,581200.0,634600.0,724100.0,719900,769200,812000,865600,678400.0,SFR
Huntington Beach,92647,547400.0,545500.0,529000.0,499700.0,544000.0,612900.0,633600,674900,696300,750000,580150.0,SFR
