City,Zipcode,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Price,Type
Aliso Viejo,92656,631500.0,616900.0,591600.0,584900.0,608400.0,715300.0,743300,768000,816400,855000,673400.0,TopTier
Anaheim,92801,428500.0,396200.0,376400.0,364000.0,398100.0,457800.0,484400,513900,551900,601500,443150.0,TopTier
Anaheim,92802,468400.0,431400.0,403200.0,393700.0,433700.0,502200.0,525900,566300,608700,646900,485300.0,TopTier
Anaheim,92804,447500.0,411200.0,394700.0,386800.0,425100.0,481600.0,505500,550500,581800,617400,464550.0,TopTier
Anaheim,92805,427000.0,388100.0,370600.0,363200.0,405200.0,464800.0,481300,519100,554000,599500,445900.0,TopTier
Anaheim,92806,487600.0,461000.0,444900.0,418800.0,449500.0,514800.0,553900,591200,616700,671600,501200.0,TopTier
Anaheim,92807,712500.0,681700.0,641500.0,628500.0,684700.0,774200.0,804100,843100,875400,907900,743350.0,TopTier
Anaheim,92808,747600.0,742200.0,700800.0,667100.0,749700.0,845200.0,851300,881400,936900,976500,797450.0,TopTier
Brea,92821,624300.0,611500.0,585700.0,556700.0,608200.0,702800.0,718700,750400,769500,810300,663550.0,TopTier
Brea,92823,829100.0,793900.0,757500.0,752800.0,805300.0,940900.0,950300,977200,1041000,1085700,885000.0,TopTier
Buena Park,90620,438400.0,424800.0,412700.0,394300.0,418300.0,490100.0,511900,541200,579800,625200,464250.0,TopTier
Buena Park,90621,602300.0,580900.0,560100.0,538000.0,550300.0,643200.0,688000,747400,743200,805500,622750.0,TopTier
Costa Mesa,92626,674100.0,674400.0,625600.0,599400.0,697900.0,762700.0,796400,845500,865200,911400,730300.0,TopTier
Costa Mesa,92627,751100.0,710400.0,705900.0,721300.0,803200.0,919900.0,972000,1059700,1134800,1199100,861550.0,TopTier
Coto de Caza,92679,1157900.0,1050300.0,929800.0,882500.0,982300.0,1139700.0,1179700,1228800,1274100,1292500,1148800.0,TopTier
Cypress,90630,621300.0,621300.0,603000.0,562900.0,608200.0,666400.0,692900,736000,760100,811000,643850.0,TopTier
Dana Point,92629,1218000.0,1107100.0,968800.0,977300.0,1046500.0,1263700.0,1341700,1395200,1588700,1654100,1240850.0,TopTier
Fountain Valley,92708,661800.0,666100.0,654800.0,605400.0,676900.0,734400.0,753800,813100,839800,886300,705650.0,TopTier
Fullerton,92831,672100.0,659400.0,627200.0,602200.0,642700.0,712700.0,743600,779100,799400,843800,692400.0,TopTier
Fullerton,92832,460800.0,448500.0,428000.0,400800.0,433700.0,513300.0,551900,580800,607700,647000,487050.0,TopTier
Fullerton,92833,665500.0,645600.0,625200.0,595700.0,632900.0,705700.0,730300,785000,813300,850600,685600.0,TopTier
Fullerton,92835,837900.0,805700.0,796800.0,758000.0,819900.0,923700.0,973000,1031300,1078900,1127300,880800.0,TopTier
Garden Grove,92840,437600.0,421500.0,389500.0,377900.0,423500.0,485200.0,515100,555300,594900,632300,461400.0,TopTier
Garden Grove,92841,462700.0,442100.0,429800.0,413300.0,452000.0,510100.0,537600,592800,635300,674100,486400.0,TopTier
Garden Grove,92843,441600.0,416400.0,394800.0,389300.0,424200.0,471900.0,499700,548600,579800,622700,456750.0,TopTier
Garden Grove,92844,441700.0,423300.0,411300.0,396900.0,431800.0,485300.0,502400,559200,596200,640600,463500.0,TopTier
Garden Grove,92845,530300.0,529900.0,519300.0,477100.0,494400.0,564900.0,594500,642200,673600,706600,547600.0,TopTier
Huntington Beach,92646,727600.0,724800.0,715100.0,695000.0,741600.0,813500.0,827900,893800,926000,974500,777550.0,TopTier
Huntington Beach,92647,660600.0,653700.0,618800.0,602400.0,674400.0,755300.0,737600,794200,822200,864700,706000.0,TopTier
Huntington Beach,92648,1204400.0,1197400.0,1034000.0,1027500.0,1125300.0,1229600.0,1264800,1340500,1398500,1496500,1217000.0,TopTier
Huntington Beach,92649,1185900.0,1207200.0,1093800.0,1028400.0,1108500.0,1199300.0,1223800,1448900,1514700,1460500,1203250.0,TopTier
Irvine,92602,935100.0,928200.0,921500.0,915800.0,978500.0,1099300.0,1176000,1244100,1247100,1299700,1038900.0,TopTier
